external_id,material_id,formula_pretty,constraint_family,question,retrieved_context,source_type,source_url
mp_external_0006_band_gap,mp-979285,Xe,band_gap,What band gap is reported for Xe?,"Materials Project record mp-979285 reports Xe with band gap 6.236800000000001 eV, formation energy 0.00193749 eV/atom, energy above hull 0.00193749 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-979285",materials_project,https://materialsproject.org/materials/mp-979285
mp_external_0006_formation_energy,mp-979285,Xe,formation_energy,What formation energy is reported for Xe?,"Materials Project record mp-979285 reports Xe with band gap 6.236800000000001 eV, formation energy 0.00193749 eV/atom, energy above hull 0.00193749 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-979285",materials_project,https://materialsproject.org/materials/mp-979285
mp_external_0006_stability,mp-979285,Xe,stability,Is Xe stable according to this record?,"Materials Project record mp-979285 reports Xe with band gap 6.236800000000001 eV, formation energy 0.00193749 eV/atom, energy above hull 0.00193749 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-979285",materials_project,https://materialsproject.org/materials/mp-979285
mp_external_0007_band_gap,mp-10753,Er,band_gap,What band gap is reported for Er?,"Materials Project record mp-10753 reports Er with band gap 0.0 eV, formation energy 0.139390026666667 eV/atom, energy above hull 0.139390026666667 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-10753",materials_project,https://materialsproject.org/materials/mp-10753
mp_external_0007_formation_energy,mp-10753,Er,formation_energy,What formation energy is reported for Er?,"Materials Project record mp-10753 reports Er with band gap 0.0 eV, formation energy 0.139390026666667 eV/atom, energy above hull 0.139390026666667 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-10753",materials_project,https://materialsproject.org/materials/mp-10753
mp_external_0007_stability,mp-10753,Er,stability,Is Er stable according to this record?,"Materials Project record mp-10753 reports Er with band gap 0.0 eV, formation energy 0.139390026666667 eV/atom, energy above hull 0.139390026666667 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-10753",materials_project,https://materialsproject.org/materials/mp-10753
mp_external_0008_band_gap,mp-1184657,Hg,band_gap,What band gap is reported for Hg?,"Materials Project record mp-1184657 reports Hg with band gap 0.5663 eV, formation energy 0.016785043749997 eV/atom, energy above hull 0.016785043749997 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1184657",materials_project,https://materialsproject.org/materials/mp-1184657
mp_external_0008_formation_energy,mp-1184657,Hg,formation_energy,What formation energy is reported for Hg?,"Materials Project record mp-1184657 reports Hg with band gap 0.5663 eV, formation energy 0.016785043749997 eV/atom, energy above hull 0.016785043749997 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1184657",materials_project,https://materialsproject.org/materials/mp-1184657
mp_external_0008_stability,mp-1184657,Hg,stability,Is Hg stable according to this record?,"Materials Project record mp-1184657 reports Hg with band gap 0.5663 eV, formation energy 0.016785043749997 eV/atom, energy above hull 0.016785043749997 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1184657",materials_project,https://materialsproject.org/materials/mp-1184657
mp_external_0009_band_gap,mp-1073316,MgSi2,band_gap,What band gap is reported for MgSi2?,"Materials Project record mp-1073316 reports MgSi2 with band gap 0.0 eV, formation energy 0.172869781666666 eV/atom, energy above hull 0.227169163333333 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073316",materials_project,https://materialsproject.org/materials/mp-1073316
mp_external_0009_formation_energy,mp-1073316,MgSi2,formation_energy,What formation energy is reported for MgSi2?,"Materials Project record mp-1073316 reports MgSi2 with band gap 0.0 eV, formation energy 0.172869781666666 eV/atom, energy above hull 0.227169163333333 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073316",materials_project,https://materialsproject.org/materials/mp-1073316
mp_external_0009_stability,mp-1073316,MgSi2,stability,Is MgSi2 stable according to this record?,"Materials Project record mp-1073316 reports MgSi2 with band gap 0.0 eV, formation energy 0.172869781666666 eV/atom, energy above hull 0.227169163333333 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073316",materials_project,https://materialsproject.org/materials/mp-1073316
mp_external_0010_band_gap,mp-1949606,Cs,band_gap,What band gap is reported for Cs?,"Materials Project record mp-1949606 reports Cs with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-1949606",materials_project,https://materialsproject.org/materials/mp-1949606
mp_external_0010_formation_energy,mp-1949606,Cs,formation_energy,What formation energy is reported for Cs?,"Materials Project record mp-1949606 reports Cs with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-1949606",materials_project,https://materialsproject.org/materials/mp-1949606
mp_external_0010_stability,mp-1949606,Cs,stability,Is Cs stable according to this record?,"Materials Project record mp-1949606 reports Cs with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-1949606",materials_project,https://materialsproject.org/materials/mp-1949606
mp_external_0011_band_gap,mp-1018045,Rb,band_gap,What band gap is reported for Rb?,"Materials Project record mp-1018045 reports Rb with band gap 0.0 eV, formation energy 0.074531954999999 eV/atom, energy above hull 0.074531954999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1018045",materials_project,https://materialsproject.org/materials/mp-1018045
mp_external_0011_formation_energy,mp-1018045,Rb,formation_energy,What formation energy is reported for Rb?,"Materials Project record mp-1018045 reports Rb with band gap 0.0 eV, formation energy 0.074531954999999 eV/atom, energy above hull 0.074531954999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1018045",materials_project,https://materialsproject.org/materials/mp-1018045
mp_external_0011_stability,mp-1018045,Rb,stability,Is Rb stable according to this record?,"Materials Project record mp-1018045 reports Rb with band gap 0.0 eV, formation energy 0.074531954999999 eV/atom, energy above hull 0.074531954999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1018045",materials_project,https://materialsproject.org/materials/mp-1018045
mp_external_0012_band_gap,mp-611836,O2,band_gap,What band gap is reported for O2?,"Materials Project record mp-611836 reports O2 with band gap 1.314299999999999 eV, formation energy 0.009970109999999 eV/atom, energy above hull 0.009970109999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-611836",materials_project,https://materialsproject.org/materials/mp-611836
mp_external_0012_formation_energy,mp-611836,O2,formation_energy,What formation energy is reported for O2?,"Materials Project record mp-611836 reports O2 with band gap 1.314299999999999 eV, formation energy 0.009970109999999 eV/atom, energy above hull 0.009970109999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-611836",materials_project,https://materialsproject.org/materials/mp-611836
mp_external_0012_stability,mp-611836,O2,stability,Is O2 stable according to this record?,"Materials Project record mp-611836 reports O2 with band gap 1.314299999999999 eV, formation energy 0.009970109999999 eV/atom, energy above hull 0.009970109999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-611836",materials_project,https://materialsproject.org/materials/mp-611836
mp_external_0013_band_gap,mp-129,Mo,band_gap,What band gap is reported for Mo?,"Materials Project record mp-129 reports Mo with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-129",materials_project,https://materialsproject.org/materials/mp-129
mp_external_0013_formation_energy,mp-129,Mo,formation_energy,What formation energy is reported for Mo?,"Materials Project record mp-129 reports Mo with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-129",materials_project,https://materialsproject.org/materials/mp-129
mp_external_0013_stability,mp-129,Mo,stability,Is Mo stable according to this record?,"Materials Project record mp-129 reports Mo with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-129",materials_project,https://materialsproject.org/materials/mp-129
mp_external_0014_band_gap,mp-1074292,Mg4Si3,band_gap,What band gap is reported for Mg4Si3?,"Materials Project record mp-1074292 reports Mg4Si3 with band gap 0.0 eV, formation energy 0.059995609285714 eV/atom, energy above hull 0.153080263571428 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074292",materials_project,https://materialsproject.org/materials/mp-1074292
mp_external_0014_formation_energy,mp-1074292,Mg4Si3,formation_energy,What formation energy is reported for Mg4Si3?,"Materials Project record mp-1074292 reports Mg4Si3 with band gap 0.0 eV, formation energy 0.059995609285714 eV/atom, energy above hull 0.153080263571428 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074292",materials_project,https://materialsproject.org/materials/mp-1074292
mp_external_0014_stability,mp-1074292,Mg4Si3,stability,Is Mg4Si3 stable according to this record?,"Materials Project record mp-1074292 reports Mg4Si3 with band gap 0.0 eV, formation energy 0.059995609285714 eV/atom, energy above hull 0.153080263571428 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074292",materials_project,https://materialsproject.org/materials/mp-1074292
mp_external_0015_band_gap,mp-1074063,Mg9Si5,band_gap,What band gap is reported for Mg9Si5?,"Materials Project record mp-1074063 reports Mg9Si5 with band gap 0.0 eV, formation energy 0.073569130714285 eV/atom, energy above hull 0.178289366785713 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074063",materials_project,https://materialsproject.org/materials/mp-1074063
mp_external_0015_formation_energy,mp-1074063,Mg9Si5,formation_energy,What formation energy is reported for Mg9Si5?,"Materials Project record mp-1074063 reports Mg9Si5 with band gap 0.0 eV, formation energy 0.073569130714285 eV/atom, energy above hull 0.178289366785713 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074063",materials_project,https://materialsproject.org/materials/mp-1074063
mp_external_0015_stability,mp-1074063,Mg9Si5,stability,Is Mg9Si5 stable according to this record?,"Materials Project record mp-1074063 reports Mg9Si5 with band gap 0.0 eV, formation energy 0.073569130714285 eV/atom, energy above hull 0.178289366785713 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074063",materials_project,https://materialsproject.org/materials/mp-1074063
mp_external_0016_band_gap,mp-1073822,MgSi,band_gap,What band gap is reported for MgSi?,"Materials Project record mp-1073822 reports MgSi with band gap 0.0 eV, formation energy 0.129000744166666 eV/atom, energy above hull 0.210449816666666 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073822",materials_project,https://materialsproject.org/materials/mp-1073822
mp_external_0016_formation_energy,mp-1073822,MgSi,formation_energy,What formation energy is reported for MgSi?,"Materials Project record mp-1073822 reports MgSi with band gap 0.0 eV, formation energy 0.129000744166666 eV/atom, energy above hull 0.210449816666666 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073822",materials_project,https://materialsproject.org/materials/mp-1073822
mp_external_0016_stability,mp-1073822,MgSi,stability,Is MgSi stable according to this record?,"Materials Project record mp-1073822 reports MgSi with band gap 0.0 eV, formation energy 0.129000744166666 eV/atom, energy above hull 0.210449816666666 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073822",materials_project,https://materialsproject.org/materials/mp-1073822
mp_external_0017_band_gap,mp-989737,Ag,band_gap,What band gap is reported for Ag?,"Materials Project record mp-989737 reports Ag with band gap 0.0 eV, formation energy 0.010381675000004 eV/atom, energy above hull 0.010381675000001 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-989737",materials_project,https://materialsproject.org/materials/mp-989737
mp_external_0017_formation_energy,mp-989737,Ag,formation_energy,What formation energy is reported for Ag?,"Materials Project record mp-989737 reports Ag with band gap 0.0 eV, formation energy 0.010381675000004 eV/atom, energy above hull 0.010381675000001 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-989737",materials_project,https://materialsproject.org/materials/mp-989737
mp_external_0017_stability,mp-989737,Ag,stability,Is Ag stable according to this record?,"Materials Project record mp-989737 reports Ag with band gap 0.0 eV, formation energy 0.010381675000004 eV/atom, energy above hull 0.010381675000001 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-989737",materials_project,https://materialsproject.org/materials/mp-989737
