external_id,answer,model,provider,generated_at_utc,prompt_version,temperature,max_tokens,prompt,prompt_tokens,completion_tokens,total_tokens,sequence_index
mp_external_0005_stability,"According to the record, Cs is not stable.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",149,10,159,15
mp_external_0006_band_gap,The band gap reported for Xe is 6.2368 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,18,179,16
mp_external_0006_formation_energy,The formation energy reported for Xe is 0.00193749 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,24,185,17
mp_external_0006_stability,"According to the Materials Project record mp-979285, Xe is not stable.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",161,21,182,18
mp_external_0007_band_gap,The band gap reported for Er is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",157,14,171,19
mp_external_0007_formation_energy,The formation energy reported for Er is 0.139390026666667 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",157,30,187,20
mp_external_0007_stability,"No, Er is not stable according to this record.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",157,11,168,21
mp_external_0008_band_gap,The band gap reported for Hg is 0.5663 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",166,18,184,22
mp_external_0008_formation_energy,The formation energy reported for Hg is 0.016785043749997 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",166,31,197,23
mp_external_0008_stability,"According to the Materials Project record, Hg is not stable.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",166,13,179,24
mp_external_0009_band_gap,The band gap reported for MgSi2 is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",165,16,181,25
mp_external_0009_formation_energy,The formation energy reported for MgSi2 is 0.172869781666666 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",165,32,197,26
mp_external_0009_stability,"No, MgSi2 is not stable according to this record.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",165,13,178,27
mp_external_0010_band_gap,The band gap reported for Cs is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",132,14,146,28
mp_external_0010_formation_energy,The formation energy reported for Cs is 0.0 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",132,16,148,29
mp_external_0010_stability,"Yes, Cs is stable according to this record.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",132,10,142,30
mp_external_0011_band_gap,The band gap reported for Rb is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",163,15,178,31
mp_external_0011_formation_energy,The formation energy reported for Rb is 0.074531954999999 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",163,31,194,32
mp_external_0011_stability,"According to the Materials Project record, Rb is not stable.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",163,13,176,33
mp_external_0012_band_gap,The band gap reported for O2 is 1.3143 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",175,18,193,34
mp_external_0012_formation_energy,The formation energy reported for O2 is 0.009970109999999 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",175,31,206,35
mp_external_0012_stability,"According to the Materials Project record mp-611836, O2 is not stable.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",175,21,196,36
mp_external_0013_band_gap,The band gap reported for Mo is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",124,14,138,37
mp_external_0013_formation_energy,The formation energy reported for Mo is 0.0 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",124,16,140,38
mp_external_0013_stability,"Yes, Mo is stable according to this record.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",124,10,134,39
mp_external_0014_band_gap,The band gap reported for Mg4Si3 is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",167,17,184,40
mp_external_0014_formation_energy,The formation energy reported for Mg4Si3 is 0.059995609285714 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",167,33,200,41
mp_external_0014_stability,"No, Mg4Si3 is not stable according to this record.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",167,14,181,42
mp_external_0015_band_gap,The band gap reported for Mg9Si5 is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",167,17,184,43
mp_external_0015_formation_energy,The formation energy reported for Mg9Si5 is 0.073569130714285 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",167,33,200,44
mp_external_0015_stability,"No, Mg9Si5 is not stable according to this record.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",167,14,181,45
mp_external_0016_band_gap,The band gap reported for MgSi is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",163,15,178,46
mp_external_0016_formation_energy,The formation energy reported for MgSi is 0.129000744166666 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",163,31,194,47
mp_external_0016_stability,"No, MgSi is not stable according to this record.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",163,12,175,48
mp_external_0017_band_gap,The band gap reported for Ag is 0.0 eV.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",159,14,173,49
mp_external_0017_formation_energy,The formation energy reported for Ag is 0.010381675000004 eV/atom.,qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",159,30,189,50
mp_external_0017_stability,"No, Ag is not stable according to this record.",qwen-max,DashScope/OpenAI-compatible,2026-08-14T11:00:41.752102+00:00,external_mp_context_answer_v1,0.0,128,"Answer the materials-science question using only the provided context. Be concise and preserve units. If the context is insufficient, state that the context does not specify the answer.",159,11,170,51
