external_id,material_id,formula_pretty,constraint_family,question,retrieved_context,source_type,source_url,answer,pi_sret_constraint_score,pi_sret_violations,lexical_support,nli_proxy_support
mp_external_0008_band_gap,mp-1184657,Hg,band_gap,What band gap is reported for Hg?,"Materials Project record mp-1184657 reports Hg with band gap 0.5663 eV, formation energy 0.016785043749997 eV/atom, energy above hull 0.016785043749997 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1184657",materials_project,https://materialsproject.org/materials/mp-1184657,The band gap reported for Hg is 0.5663 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0008_formation_energy,mp-1184657,Hg,formation_energy,What formation energy is reported for Hg?,"Materials Project record mp-1184657 reports Hg with band gap 0.5663 eV, formation energy 0.016785043749997 eV/atom, energy above hull 0.016785043749997 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1184657",materials_project,https://materialsproject.org/materials/mp-1184657,The formation energy reported for Hg is 0.016785043749997 eV/atom.,1.0,,0.5,0.5
mp_external_0008_stability,mp-1184657,Hg,stability,Is Hg stable according to this record?,"Materials Project record mp-1184657 reports Hg with band gap 0.5663 eV, formation energy 0.016785043749997 eV/atom, energy above hull 0.016785043749997 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1184657",materials_project,https://materialsproject.org/materials/mp-1184657,"According to the Materials Project record, Hg is not stable.",1.0,,0.6,0.75
mp_external_0009_band_gap,mp-1073316,MgSi2,band_gap,What band gap is reported for MgSi2?,"Materials Project record mp-1073316 reports MgSi2 with band gap 0.0 eV, formation energy 0.172869781666666 eV/atom, energy above hull 0.227169163333333 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073316",materials_project,https://materialsproject.org/materials/mp-1073316,The band gap reported for MgSi2 is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0009_formation_energy,mp-1073316,MgSi2,formation_energy,What formation energy is reported for MgSi2?,"Materials Project record mp-1073316 reports MgSi2 with band gap 0.0 eV, formation energy 0.172869781666666 eV/atom, energy above hull 0.227169163333333 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073316",materials_project,https://materialsproject.org/materials/mp-1073316,The formation energy reported for MgSi2 is 0.172869781666666 eV/atom.,1.0,,0.5,0.5
mp_external_0009_stability,mp-1073316,MgSi2,stability,Is MgSi2 stable according to this record?,"Materials Project record mp-1073316 reports MgSi2 with band gap 0.0 eV, formation energy 0.172869781666666 eV/atom, energy above hull 0.227169163333333 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073316",materials_project,https://materialsproject.org/materials/mp-1073316,"No, MgSi2 is not stable according to this record.",1.0,,0.2222222222222222,0.2222222222222222
mp_external_0010_band_gap,mp-1949606,Cs,band_gap,What band gap is reported for Cs?,"Materials Project record mp-1949606 reports Cs with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-1949606",materials_project,https://materialsproject.org/materials/mp-1949606,The band gap reported for Cs is 0.0 eV.,1.0,,0.4444444444444444,0.45
mp_external_0010_formation_energy,mp-1949606,Cs,formation_energy,What formation energy is reported for Cs?,"Materials Project record mp-1949606 reports Cs with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-1949606",materials_project,https://materialsproject.org/materials/mp-1949606,The formation energy reported for Cs is 0.0 eV/atom.,1.0,,0.5,0.45
mp_external_0010_stability,mp-1949606,Cs,stability,Is Cs stable according to this record?,"Materials Project record mp-1949606 reports Cs with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-1949606",materials_project,https://materialsproject.org/materials/mp-1949606,"Yes, Cs is stable according to this record.",0.0,cautious_stability_claim,0.125,0.125
mp_external_0011_band_gap,mp-1018045,Rb,band_gap,What band gap is reported for Rb?,"Materials Project record mp-1018045 reports Rb with band gap 0.0 eV, formation energy 0.074531954999999 eV/atom, energy above hull 0.074531954999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1018045",materials_project,https://materialsproject.org/materials/mp-1018045,The band gap reported for Rb is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0011_formation_energy,mp-1018045,Rb,formation_energy,What formation energy is reported for Rb?,"Materials Project record mp-1018045 reports Rb with band gap 0.0 eV, formation energy 0.074531954999999 eV/atom, energy above hull 0.074531954999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1018045",materials_project,https://materialsproject.org/materials/mp-1018045,The formation energy reported for Rb is 0.074531954999999 eV/atom.,0.0,elemental_formation_energy_reference_conflict,0.5,0.5
mp_external_0011_stability,mp-1018045,Rb,stability,Is Rb stable according to this record?,"Materials Project record mp-1018045 reports Rb with band gap 0.0 eV, formation energy 0.074531954999999 eV/atom, energy above hull 0.074531954999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1018045",materials_project,https://materialsproject.org/materials/mp-1018045,"According to the Materials Project record, Rb is not stable.",1.0,,0.6,0.75
mp_external_0012_band_gap,mp-611836,O2,band_gap,What band gap is reported for O2?,"Materials Project record mp-611836 reports O2 with band gap 1.314299999999999 eV, formation energy 0.009970109999999 eV/atom, energy above hull 0.009970109999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-611836",materials_project,https://materialsproject.org/materials/mp-611836,The band gap reported for O2 is 1.3143 eV.,1.0,,0.3333333333333333,0.3333333333333333
mp_external_0012_formation_energy,mp-611836,O2,formation_energy,What formation energy is reported for O2?,"Materials Project record mp-611836 reports O2 with band gap 1.314299999999999 eV, formation energy 0.009970109999999 eV/atom, energy above hull 0.009970109999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-611836",materials_project,https://materialsproject.org/materials/mp-611836,The formation energy reported for O2 is 0.009970109999999 eV/atom.,1.0,,0.5,0.5
mp_external_0012_stability,mp-611836,O2,stability,Is O2 stable according to this record?,"Materials Project record mp-611836 reports O2 with band gap 1.314299999999999 eV, formation energy 0.009970109999999 eV/atom, energy above hull 0.009970109999999 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-611836",materials_project,https://materialsproject.org/materials/mp-611836,"According to the Materials Project record mp-611836, O2 is not stable.",1.0,,0.6363636363636364,0.75
mp_external_0013_band_gap,mp-129,Mo,band_gap,What band gap is reported for Mo?,"Materials Project record mp-129 reports Mo with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-129",materials_project,https://materialsproject.org/materials/mp-129,The band gap reported for Mo is 0.0 eV.,1.0,,0.4444444444444444,0.45
mp_external_0013_formation_energy,mp-129,Mo,formation_energy,What formation energy is reported for Mo?,"Materials Project record mp-129 reports Mo with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-129",materials_project,https://materialsproject.org/materials/mp-129,The formation energy reported for Mo is 0.0 eV/atom.,1.0,,0.5,0.45
mp_external_0013_stability,mp-129,Mo,stability,Is Mo stable according to this record?,"Materials Project record mp-129 reports Mo with band gap 0.0 eV, formation energy 0.0 eV/atom, energy above hull 0.0 eV/atom, and stability status stable. Source: https://materialsproject.org/materials/mp-129",materials_project,https://materialsproject.org/materials/mp-129,"Yes, Mo is stable according to this record.",0.0,cautious_stability_claim,0.125,0.125
mp_external_0014_band_gap,mp-1074292,Mg4Si3,band_gap,What band gap is reported for Mg4Si3?,"Materials Project record mp-1074292 reports Mg4Si3 with band gap 0.0 eV, formation energy 0.059995609285714 eV/atom, energy above hull 0.153080263571428 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074292",materials_project,https://materialsproject.org/materials/mp-1074292,The band gap reported for Mg4Si3 is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0014_formation_energy,mp-1074292,Mg4Si3,formation_energy,What formation energy is reported for Mg4Si3?,"Materials Project record mp-1074292 reports Mg4Si3 with band gap 0.0 eV, formation energy 0.059995609285714 eV/atom, energy above hull 0.153080263571428 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074292",materials_project,https://materialsproject.org/materials/mp-1074292,The formation energy reported for Mg4Si3 is 0.059995609285714 eV/atom.,1.0,,0.5,0.5
mp_external_0014_stability,mp-1074292,Mg4Si3,stability,Is Mg4Si3 stable according to this record?,"Materials Project record mp-1074292 reports Mg4Si3 with band gap 0.0 eV, formation energy 0.059995609285714 eV/atom, energy above hull 0.153080263571428 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074292",materials_project,https://materialsproject.org/materials/mp-1074292,"No, Mg4Si3 is not stable according to this record.",1.0,,0.2222222222222222,0.2222222222222222
mp_external_0015_band_gap,mp-1074063,Mg9Si5,band_gap,What band gap is reported for Mg9Si5?,"Materials Project record mp-1074063 reports Mg9Si5 with band gap 0.0 eV, formation energy 0.073569130714285 eV/atom, energy above hull 0.178289366785713 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074063",materials_project,https://materialsproject.org/materials/mp-1074063,The band gap reported for Mg9Si5 is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0015_formation_energy,mp-1074063,Mg9Si5,formation_energy,What formation energy is reported for Mg9Si5?,"Materials Project record mp-1074063 reports Mg9Si5 with band gap 0.0 eV, formation energy 0.073569130714285 eV/atom, energy above hull 0.178289366785713 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074063",materials_project,https://materialsproject.org/materials/mp-1074063,The formation energy reported for Mg9Si5 is 0.073569130714285 eV/atom.,1.0,,0.5,0.5
mp_external_0015_stability,mp-1074063,Mg9Si5,stability,Is Mg9Si5 stable according to this record?,"Materials Project record mp-1074063 reports Mg9Si5 with band gap 0.0 eV, formation energy 0.073569130714285 eV/atom, energy above hull 0.178289366785713 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1074063",materials_project,https://materialsproject.org/materials/mp-1074063,"No, Mg9Si5 is not stable according to this record.",1.0,,0.2222222222222222,0.2222222222222222
mp_external_0016_band_gap,mp-1073822,MgSi,band_gap,What band gap is reported for MgSi?,"Materials Project record mp-1073822 reports MgSi with band gap 0.0 eV, formation energy 0.129000744166666 eV/atom, energy above hull 0.210449816666666 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073822",materials_project,https://materialsproject.org/materials/mp-1073822,The band gap reported for MgSi is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0016_formation_energy,mp-1073822,MgSi,formation_energy,What formation energy is reported for MgSi?,"Materials Project record mp-1073822 reports MgSi with band gap 0.0 eV, formation energy 0.129000744166666 eV/atom, energy above hull 0.210449816666666 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073822",materials_project,https://materialsproject.org/materials/mp-1073822,The formation energy reported for MgSi is 0.129000744166666 eV/atom.,1.0,,0.5,0.5
mp_external_0016_stability,mp-1073822,MgSi,stability,Is MgSi stable according to this record?,"Materials Project record mp-1073822 reports MgSi with band gap 0.0 eV, formation energy 0.129000744166666 eV/atom, energy above hull 0.210449816666666 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-1073822",materials_project,https://materialsproject.org/materials/mp-1073822,"No, MgSi is not stable according to this record.",1.0,,0.2222222222222222,0.2222222222222222
mp_external_0017_band_gap,mp-989737,Ag,band_gap,What band gap is reported for Ag?,"Materials Project record mp-989737 reports Ag with band gap 0.0 eV, formation energy 0.010381675000004 eV/atom, energy above hull 0.010381675000001 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-989737",materials_project,https://materialsproject.org/materials/mp-989737,The band gap reported for Ag is 0.0 eV.,1.0,,0.4444444444444444,0.4444444444444444
mp_external_0017_formation_energy,mp-989737,Ag,formation_energy,What formation energy is reported for Ag?,"Materials Project record mp-989737 reports Ag with band gap 0.0 eV, formation energy 0.010381675000004 eV/atom, energy above hull 0.010381675000001 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-989737",materials_project,https://materialsproject.org/materials/mp-989737,The formation energy reported for Ag is 0.010381675000004 eV/atom.,1.0,,0.5,0.5
mp_external_0017_stability,mp-989737,Ag,stability,Is Ag stable according to this record?,"Materials Project record mp-989737 reports Ag with band gap 0.0 eV, formation energy 0.010381675000004 eV/atom, energy above hull 0.010381675000001 eV/atom, and stability status not stable. Source: https://materialsproject.org/materials/mp-989737",materials_project,https://materialsproject.org/materials/mp-989737,"No, Ag is not stable according to this record.",1.0,,0.2222222222222222,0.2222222222222222
