sample_id,response_id,constraint_family,document_status,model,mode,question,answer,ragas_faithfulness,ragas_answer_relevancy,pi_sret_constraint_score,pi_sret_violations
mp_bal_v2_0946_band_gap_high,resp_048d6c7f335528f8,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Mg9Si5?,The band gap of Mg9Si5 is 16.5 eV.,1.0,1.0,0.0,band_gap_physical_range
mp_bal_v2_0976_band_gap_high,resp_00aa50db342b8a97,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Mg4Si3?,The band gap of Mg4Si3 is 16.5 eV.,1.0,0.9999999999999996,0.0,band_gap_physical_range
mp_bal_v2_0990_band_gap_high,resp_04137a8aa7519766,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Mg4Si3?,The band gap of Mg4Si3 is 16.5 eV.,1.0,0.9999999999999996,0.0,band_gap_physical_range
mp_bal_v2_0108_conductivity_gap_conflict,resp_05295965e793c4ba,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,Is N2 metallic or insulating based on its band gap?,N2 is metallic with a band gap of 6.739 eV.,1.0,0.7965294791524236,0.0,conductivity_band_gap_consistency
mp_bal_v2_0242_band_gap_negative,resp_02be16c42f4f35b3,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of K?,The band gap of K is -0.05 eV.,1.0,0.9999999999999998,0.0,non_negative_band_gap
mp_bal_v2_0913_band_gap_negative,resp_050aee5c3dd9db81,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Mg6Si5?,The band gap of Mg6Si5 is -0.05 eV.,1.0,0.9999999999999992,0.0,non_negative_band_gap
mp_bal_v2_0923_band_gap_negative,resp_02b6bdf8ef6646fc,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Mg6Si5?,The band gap of Mg6Si5 is -0.05 eV.,1.0,0.9999999999999992,0.0,non_negative_band_gap
mp_bal_v2_0991_band_gap_negative,resp_00d2d244b46f9bb0,band_gap,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the band gap of Mg4Si3?,The band gap of Mg4Si3 is -0.05 eV.,1.0,0.9999999999999996,0.0,non_negative_band_gap
natural_arxiv_current_0095,resp_1681935da79e390f,band_gap,current,extractive_real_arxiv,matched_and_mismatched,What is the main materials-science claim reported in the source titled 'Exploring Multi-Transition-Metal NASICON Frameworks as High-Performance Cathodes for Sodium-Ion Batteries'?,"Electronic structure data demonstrate non-systematic changes in the band gap, especially in systems containing multiple TMs.",1.0,0.3437501672305172,0.0,valid_chemical_symbols
supp_valid_chemical_symbols_v003,resp_0363b0158b7b23b9,chemical_formula,current,llm_diverse_probe,constraint_coverage,Give the formula for SiC.,The reported formula for SrTiO3 is Ab3Cd9.,1.0,0.3998331268609881,0.0,valid_chemical_symbols
supp_valid_chemical_symbols_v008,resp_0351425482539959,chemical_formula,incomplete,llm_diverse_probe,constraint_coverage,What compound does ZnO refer to?,The reported formula for MgO is Ab3Cd9.,1.0,0.3248777681608277,0.0,valid_chemical_symbols
mp_bal_v2_0003_formation_current,resp_06398ee3041b08c7,formation_energy,current,mp_property_derived,controlled_balanced,What is the formation energy of Rb?,The formation energy of Rb is 0.053649282500000006 eV/atom.,1.0,0.9999999999999998,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0114_formation_current,resp_0267c851ee2e91f2,formation_energy,current,mp_property_derived,controlled_balanced,What is the formation energy of Br?,The formation energy of Br is 0.20109457500000003 eV/atom.,1.0,0.9999999999999994,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0154_formation_current,resp_00789662734d3b93,formation_energy,current,mp_property_derived,controlled_balanced,What is the formation energy of Si?,The formation energy of Si is 0.11663319999999901 eV/atom.,1.0,0.9999999999999996,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0173_formation_current,resp_03259d64822a48e7,formation_energy,current,mp_property_derived,controlled_balanced,What is the formation energy of Pb?,The formation energy of Pb is 0.11592558166666801 eV/atom.,1.0,0.9999999999999996,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0292_formation_current,resp_0234289563a7991e,formation_energy,current,mp_property_derived,controlled_balanced,What is the formation energy of Co?,The formation energy of Co is 0.11766239086956701 eV/atom.,1.0,1.0,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0620_formation_current,resp_00f6303a95a21cc7,formation_energy,current,mp_property_derived,controlled_balanced,What is the formation energy of Mn?,The formation energy of Mn is 0.36972538551724204 eV/atom.,1.0,0.9999999999999994,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0653_formation_current,resp_01af79feb3c5f331,formation_energy,current,mp_property_derived,controlled_balanced,What is the formation energy of Co?,The formation energy of Co is 0.08956573499999801 eV/atom.,1.0,1.0,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0821_formation_current,resp_0132e6f9514ee0d6,formation_energy,current,mp_property_derived,controlled_balanced,What is the formation energy of Br?,The formation energy of Br is 0.08391820500000001 eV/atom.,1.0,0.9999999999999994,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0098_formation_noisy_high,resp_0545cdec1967bb77,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of B?,The formation energy of B is 5.5 eV/atom.,1.0,0.9999999999999992,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0257_formation_noisy_high,resp_014526fa7d170ed6,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of Nb?,The formation energy of Nb is 5.5 eV/atom.,1.0,0.9999999999999992,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0386_formation_noisy_high,resp_04c11de37eae0042,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of Mo?,The formation energy of Mo is 5.5 eV/atom.,1.0,1.0,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0470_formation_noisy_high,resp_05cc972d2edf35bc,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of Rb?,The formation energy of Rb is 5.5 eV/atom.,1.0,0.9999999999999998,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0701_formation_noisy_high,resp_000e7d4b6718e189,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of U?,The formation energy of U is 5.5 eV/atom.,1.0,0.9999999999999992,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0801_formation_noisy_high,resp_02112d0db3a48856,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of C?,The formation energy of C is 5.5 eV/atom.,1.0,0.9999999999999992,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0824_formation_noisy_high,resp_0450f7fd2746ffd5,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of Rb?,The formation energy of Rb is 5.5 eV/atom.,1.0,0.9999999999999998,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0331_formation_noisy_high,resp_026de1a102e933be,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of N2?,The formation energy of N2 is 5.5 eV/atom.,1.0,0.9999999999999996,0.0,formation_energy_typical_range
mp_bal_v2_0722_formation_current,resp_046d94690a4eb4bb,formation_energy,current,mp_property_derived,controlled_balanced,What is the formation energy of N2?,The formation energy of N2 is 1.08825211125 eV/atom.,1.0,0.9999999999999996,0.0,formation_energy_typical_range
mp_bal_v2_0724_formation_current,resp_00fcbc9929e747e6,formation_energy,current,mp_property_derived,controlled_balanced,What is the formation energy of H2?,The formation energy of H2 is 1.188433449375 eV/atom.,1.0,0.9999999999999996,0.0,formation_energy_typical_range
mp_bal_v2_0724_formation_noisy_high,resp_0386b3175359970b,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of H2?,The formation energy of H2 is 5.5 eV/atom.,1.0,0.9999999999999996,0.0,formation_energy_typical_range
mp_bal_v2_0737_formation_noisy_high,resp_04d10970b9af19bd,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of O2?,The formation energy of O2 is 5.5 eV/atom.,1.0,0.9999999999999992,0.0,formation_energy_typical_range
mp_bal_v2_0850_formation_noisy_high,resp_0207216ae9d47812,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of Mg2Si3?,The formation energy of Mg2Si3 is 5.5 eV/atom.,1.0,0.9999999999999992,0.0,formation_energy_typical_range
mp_bal_v2_0853_formation_noisy_high,resp_02d9f4f2957499fa,formation_energy,outdated_or_incorrect,mp_property_derived,controlled_balanced,What is the formation energy of Mg2Si3?,The formation energy of Mg2Si3 is 5.5 eV/atom.,1.0,0.9999999999999992,0.0,formation_energy_typical_range
supp_non_negative_pressure_v013,resp_42efa3814ab84359,pressure,outdated_or_incorrect,llm_diverse_probe,constraint_coverage,Report the synthesis pressure of GaN.,La2CuO4 was synthesized at -0.01 GPa.,1.0,0.4382852146133583,0.0,non_negative_pressure
mp_bal_v2_0667_stability_incomplete,resp_06a6700fba4970ab,stability,incomplete,mp_property_derived,controlled_balanced,Is I thermodynamically stable?,I is stable.,1.0,0.0,0.0,cautious_stability_claim
natural_arxiv_current_0051,resp_13d6ac3dca729ab9,stability,current,extractive_real_arxiv,matched_and_mismatched,What is the main materials-science claim reported in the source titled 'Carrier Localization in Pnictogen-Based Chalcohalides from Defect-Bound Hot Polarons'?,"Pnictogen-based solar absorbers have gained prominence as promising nontoxic and stable alternatives to lead-halide perovskites (LHPs), but are severely limited by carrier localization, preventing their performance from approaching those of LHPs.",1.0,0.3592155521911749,0.0,valid_chemical_symbols
supp_cautious_superconductivity_claim_v007,resp_2a30b6719c7570e4,superconductivity,incomplete,llm_diverse_probe,constraint_coverage,Does NaCl exhibit superconductivity?,"The context explicitly states that MgO is a superconductor, with no indication that NaCl shares this behavior.",1.0,0.9060952294643752,0.0,cautious_superconductivity_claim
natural_arxiv_current_0217,resp_134c9a14b1e3a35b,superconductivity,current,extractive_real_arxiv,matched_and_mismatched,What is the main materials-science claim reported in the source titled 'Impact of Stoichiometry of MoSi Thin Films for Enhanced Sensitivity of Superconducting Nanowire Single-Photon Detectors'?,We report on the impact of the stoichiometry of superconducting MoSi thin films on the performance of superconducting nanowire single-photon detectors (SNSPDs).,1.0,0.8752349147200105,0.0,valid_chemical_symbols
natural_arxiv_current_0226,resp_0a650c5974f3505e,superconductivity,current,extractive_real_arxiv,matched_and_mismatched,What is the main materials-science claim reported in the source titled 'Superconductivity in Al-based high-entropy alloys TiHfNbTaAl and TaNbHfZrAl'?,"Since the first report of a high entropy alloy (HEA) superconductor in 2014, HEAs have continued to captivate the interest of superconducting researchers.",1.0,0.6647754148159847,0.0,valid_chemical_symbols
natural_arxiv_noisy_0097,resp_1a9dcb5f6223171a,superconductivity,incomplete,extractive_real_arxiv,matched_and_mismatched,What is the main materials-science claim reported in the source titled 'Orbital-Engineered Altermagnetism in Two-Dimensional Square Lattices'?,"We employ terahertz Faraday magneto-optical spectroscopy to probe the relaxation dynamics of quantized helical Caroli-de Gennes-Matricon (CdGM) states in epitaxial FeTe$_{1-x}$Se$_x$ thin films, nodeless multiband superconductors with short coherence lengths in the moderately clean limit.",1.0,0.3171286822637041,0.0,valid_chemical_symbols
supp_non_negative_absolute_temperature_v014,resp_011711f79b38f72f,temperature,incomplete,llm_diverse_probe,constraint_coverage,At what temperature does InP undergo this transition?,The critical temperature of MgO is reported as -273 K.,1.0,0.5234823193791789,0.0,non_negative_absolute_temperature
natural_arxiv_current_0108,resp_10af303045d52e60,temperature,current,extractive_real_arxiv,matched_and_mismatched,What is the main materials-science claim reported in the source titled 'Machine learning via artificial neural networks coupled with density functional theory and experiments for thermodynamic optimization of high-entropy alloys for hydrogen storage at room temperature'?,"High-entropy alloys (HEAs) have received considerable attention for hydrogen storage because of their compositional flexibility; however, designing HEAs with optimal thermodynamics is critical.",1.0,0.5738564249589051,0.0,valid_chemical_symbols
