盲标编号,sample_id,response_id,base_task_id,constraint_family,document_status,source_kind,model,mode,是否存在科学违规_A,是否存在科学违规_B,违规类型（可多选）_A,违规类型（可多选）_B,严重程度_A,严重程度_B,来源说明是否充分_A,来源说明是否充分_B,标注信心_A,标注信心_B,expert_agreement,protocol_adjudicated_label,protocol_adjudicated_violation,protocol_adjudicated_type,protocol_adjudicated_severity,protocol_adjudication_basis,protocol_adjudication_method,auto_violation,auto_constraint_violations_optimized,qwen_plus_violation,qwen_max_violation,human_final_label,human_final_violation,human_final_type,human_final_severity,human_final_basis,human_final_method,专家判断理由_A,专家判断理由_B
BLIND-0165,natural_arxiv_noisy_0241,resp_0ec280e38ee91ffd,task_6c5e3df59d0ead32,band_gap,incomplete,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0166,natural_arxiv_current_0031,resp_0f58849816a9e341,task_ee2dd7939e9c6a28,natural_claim,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0167,natural_arxiv_noisy_0207,resp_0fa051f6f512c020,task_a9cd92b63030d7d2,formation_energy,incomplete,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0168,natural_arxiv_noisy_0238,resp_106d4c48a20eab49,task_dfdef0eb2539c080,natural_claim,incomplete,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0170,natural_arxiv_current_0108,resp_10af303045d52e60,task_1051e103a3820d87,temperature,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,True,valid_chemical_symbols,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0171,natural_arxiv_noisy_0092,resp_11374dccf007ac35,task_dec46281d32f7152,superconductivity,incomplete,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0172,natural_arxiv_noisy_0049,resp_1240fc3baa006b5b,task_fead016b1dec5251,pressure,incomplete,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0176,natural_arxiv_noisy_0177,resp_1318fefae6113d4a,task_0e9850b1e2b585a2,temperature,incomplete,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0182,natural_arxiv_current_0095,resp_1681935da79e390f,task_8d3b645b2826e24c,band_gap,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,True,valid_chemical_symbols,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0183,natural_arxiv_current_0064,resp_17831ae70748f70a,task_e9555797d7eda227,temperature,current,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0185,natural_arxiv_noisy_0089,resp_1aae472adb8fa80d,task_38534aefb9836c1c,superconductivity,incomplete,real_arxiv_abstract,extractive_real_arxiv,matched_and_mismatched,是,否,来源可靠性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,仅存在答案相关性或来源说明不足；按主协议不计为科学约束违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,回答为关于该领域的通用背景陈述，未报告该真实文献的具体定量结论，但陈述本身不含科学性错误（无数值矛盾、无物理上不可能的断言、无内部不自洽）。此为答案相关性/忠实度（faithfulness）不足，不属于本协议定义的科学约束违规范畴（faithfulness ≠ scientific correctness）。,independent_third_human_adjudication,回答仅给出通用背景陈述，未报告该文献的具体科学结论，属来源可靠性/忠实度违规。,回答为通用背景，虽未切中具体结论但无科学性错误，判无违规（来源说明不充分）。
BLIND-0196,supp_cautious_superconductivity_claim_v010,resp_1680e95ccc445988,task_a9c9855bdffe2210,superconductivity,outdated_or_incorrect,derived_response,llm_diverse_probe,constraint_coverage,是,否,超导性;来源可靠性,无违规,主要错误,无违规,不充分,不充分,中,中,False,是,True,超导性,主要错误,回答存在内部性质矛盾或在缺乏必要证据时作出确定科学断言,protocol_rule_resolution,False,,True,True,是,True,超导性;来源可靠性,主要错误,"领域事实：La2CuO4是铜氧化物高温超导母体相，本身为反铁磁绝缘体，仅在掺杂（如La2-xSrxCuO4）后才出现超导；将超导性直接归于La2CuO4为科学错误。且检索上下文仅笼统称""新超导家族""、无Tc与测量证据，回答据此作出确定超导断言，属缺乏必要证据下的确定科学断言。",independent_third_human_adjudication,"上下文仅笼统称""某新超导家族""且无 Tc/证据，回答却把超导性归于 La2CuO4（且 La2CuO4 非公认超导体），属超导性/来源可靠性违规。",上下文已称其属新超导家族，回答与之大体一致，未引入明显科学错误，判无违规（来源说明不充分）。
BLIND-0197,supp_cautious_superconductivity_claim_v002,resp_1938e8aca858829a,task_854fc7d625ddaec7,superconductivity,current,derived_response,llm_diverse_probe,constraint_coverage,是,否,超导性;来源可靠性,无违规,主要错误,无违规,不充分,不充分,中,中,False,是,True,超导性,主要错误,回答存在内部性质矛盾或在缺乏必要证据时作出确定科学断言,protocol_rule_resolution,False,,True,True,是,True,超导性;来源可靠性,主要错误,"领域事实：MgO为岩盐结构宽带隙绝缘体，无公认超导报告。回答称""已在MgO中观察到超导性""为科学性错误/编造；上下文未提供Tc与证据，回答仍作确定断言，属超导性+来源可靠性违规。",independent_third_human_adjudication,"上下文仅笼统称""某新超导家族""且无 Tc/证据，回答却把超导性归于 MgO（且 MgO 非公认超导体），属超导性/来源可靠性违规。",上下文已称其属新超导家族，回答与之大体一致，未引入明显科学错误，判无违规（来源说明不充分）。
BLIND-0200,supp_non_negative_pressure_c009,resp_a3456632ed748007,task_99c7b069258dda93,pressure,current,derived_response,llm_diverse_probe,constraint_coverage,是,否,结构一致性,无违规,轻微问题,无违规,不充分,不充分,中,中,False,否,False,无违规,无违规,回答未针对问题中的材料，但所述压力值未构成当前定义的科学约束违规,protocol_rule_resolution,False,,False,True,否,False,无违规,无违规,问题问LiCoO2，回答报告MgO在5.0 GPa被研究，属答非所问/实体替换。但所述压力值5.0 GPa本身物理有效（非负、量级合理），不触发non_negative_pressure等压力约束；实体替换为答案相关性缺陷，不在本协议定义的科学约束违规范畴内。,independent_third_human_adjudication,问题问 LiCoO2，回答却报 MgO 在 5.0 GPa 被研究：实体不符、答非所问，属结构一致性违规（压力值本身有效）。,回答中的 5.0 GPa 压力值本身有效，虽答非所问（问 LiCoO2）但不构成科学约束违规，判无违规（来源说明不充分）。
