sample_id,response_id,base_task_id,source_dataset,dataset_role,model,mode,constraint_family,question,answer,retrieved_context,ground_truth,document_status,judge_record_key,auto_constraint_score,auto_constraint_violations,judge_score,judge_violation,judge_backend,judge_rationale,agreement
mp_bal_v2_0902_band_gap_current,resp_00d381733ff87166,task_f5b9aa897b2078dc,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of MgSi?,The band gap of MgSi is 0.0 eV according to Materials Project.,Materials Project reports MgSi (mp-1073859). Band gap: 0.0 eV. Formation energy per atom: 0.16925799333333302 eV/atom. Energy above hull: 0.250707065833333 eV/atom. Stable: False.,,current,resp_00d381733ff87166,1.0,,1.0,False,llm,"The answer correctly reports the band gap as 0.0 eV, which is consistent with the retrieved context and physically valid (indicating metallic or semi-metallic behavior). A zero band gap is scientifically acceptable for metals or gapless semiconductors. No invalid chemical symbols, thermodynamic contradictions, or other scientific constraints are violated. The answer does not claim stability, and the context confirms MgSi is unstable (which the answer does not contradict).",1
mp_bal_v2_0043_band_gap_current,resp_00d7671d5f54bb58,task_7e10a53e4be6ee35,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Bi?,The band gap of Bi is 0.0 eV according to Materials Project.,Materials Project reports Bi (mp-1067758). Band gap: 0.0 eV. Formation energy per atom: 0.08585941499999401 eV/atom. Energy above hull: 0.08585941499999401 eV/atom. Stable: False.,,current,resp_00d7671d5f54bb58,1.0,,1.0,False,llm,"Bismuth (Bi) is a well-known semimetal with negligible or zero band overlap (effectively zero band gap) in its bulk rhombohedral structure; experimental and theoretical studies consistently report it as having no true band gap — i.e., valence and conduction bands touch or slightly overlap. A reported band gap of 0.0 eV is physically appropriate for a semimetal like Bi and does not violate any scientific constraint. The answer correctly reports the value without misrepresenting it (e.g., as a semiconductor with 0.0 eV gap), and the context’s ‘Stable: False’ and positive formation energy are consistent with Bi’s known metastability relative to elemental reference states in some DFT workflows — but that does not invalidate the band gap statement. No invalid symbols, negative energies, inconsistent crystal systems, or thermodynamic overclaims are present.",1
mp_bal_v2_0813_band_gap_negative,resp_00f53df70a99a5f3,task_8cc483338608a844,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Rb?,The band gap of Rb is -0.05 eV.,A controlled noisy note derived from mp-1063817 reports Rb with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,resp_00f53df70a99a5f3,0.0,non_negative_band_gap,0.0,True,llm,"A negative band gap is unphysical for a bulk elemental material like rubidium (Rb), which is a well-known alkali metal and experimentally confirmed to be metallic (i.e., zero or negligible band gap at the Fermi level). The retrieved context explicitly labels the -0.05 eV value as 'outdated_or_incorrect' and 'controlled noisy', yet the answer presents it uncritically as fact. Reporting a negative band gap as the band gap of Rb violates fundamental solid-state physics: band gaps are defined for insulators/semiconductors as the energy difference between valence and conduction bands; metals have no band gap (or effectively zero), not a negative one. Thus, the answer asserts an invalid physical quantity.",1
mp_bal_v2_0793_band_gap_current,resp_012d9505a910a81a,task_ec9f622137196b68,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of U?,The band gap of U is 0.0 eV according to Materials Project.,Materials Project reports U (mp-1981700). Band gap: 0.0 eV. Formation energy per atom: 0.359552800000003 eV/atom. Energy above hull: 0.359552800000003 eV/atom. Stable: False.,,current,resp_012d9505a910a81a,1.0,,1.0,False,llm,"Uranium (U) is a metallic element with no band gap in its bulk elemental form; a reported band gap of 0.0 eV is physically appropriate for a metal. The answer correctly reports the value from the retrieved context without misrepresenting it (e.g., no claim of semiconductor behavior or insulating nature). The context also correctly labels U as unstable (False stable flag) and gives a positive formation energy — consistent with known thermodynamics (elemental U is stable by definition, but the Materials Project entry likely refers to a specific computed structure not matching the ground-state α-U, hence the positive energy above hull; this does not invalidate the band gap statement). No scientific constraints are violated.",1
mp_bal_v2_0678_conductivity_gap_conflict,resp_0146648feefb0191,task_1248bc1764770a84,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,Is Kr metallic or insulating based on its band gap?,Kr is metallic with a band gap of 7.1667 eV.,Materials Project reports Kr (mp-974400). Band gap: 7.1667 eV. Formation energy per atom: 0.013854593333332001 eV/atom. Energy above hull: 0.013854593333332001 eV/atom. Stable: False.,,outdated_or_incorrect,resp_0146648feefb0191,0.0,conductivity_band_gap_consistency,0.0,True,llm,"A material with a band gap of 7.1667 eV is definitively insulating (large band gap), not metallic. Metals have zero or negligible band gaps (effectively overlapping valence and conduction bands). Asserting Kr is metallic while citing a large positive band gap directly contradicts fundamental electronic structure principles. Additionally, Kr is a noble gas and is well-known to be an insulator in its solid phase; the reported band gap is physically plausible for solid krypton. The answer misinterprets band gap magnitude entirely.",1
mp_bal_v2_0941_band_gap_current,resp_014e312a78c8864f,task_e0178d3bac46583f,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Mg9Si5?,The band gap of Mg9Si5 is 0.0 eV according to Materials Project.,Materials Project reports Mg9Si5 (mp-1074066). Band gap: 0.0 eV. Formation energy per atom: 0.030294349642856003 eV/atom. Energy above hull: 0.135014585714285 eV/atom. Stable: False.,,current,resp_014e312a78c8864f,1.0,,1.0,False,llm,"The answer correctly reports the band gap as 0.0 eV, which is consistent with the retrieved context and physically valid (indicating a metallic or zero-gap semimetallic character). A band gap of 0.0 eV does not violate any scientific constraint—it is permissible for metals or semimetals. The answer does not make unsupported stability claims; it merely quotes the reported band gap without asserting stability, and the context explicitly states 'Stable: False', aligning with the positive formation energy and energy above hull. No invalid symbols, inconsistent crystal systems, or unphysical conditions (e.g., negative temperature/pressure) are involved.",1
mp_bal_v2_0050_band_gap_current,resp_016bc17d5d71df3e,task_bec8682944f8a7d0,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Sb?,The band gap of Sb is 0.0 eV according to Materials Project.,Materials Project reports Sb (mp-632286). Band gap: 0.0 eV. Formation energy per atom: 0.05888531 eV/atom. Energy above hull: 0.05888531 eV/atom. Stable: False.,,current,resp_016bc17d5d71df3e,1.0,,1.0,False,llm,"Sb (antimony) is a semimetal with overlapping valence and conduction bands or a very small band overlap, resulting in effectively zero (0.0 eV) band gap — consistent with its metallic/semimetallic character. The Materials Project value of 0.0 eV is physically reasonable and widely accepted for elemental Sb. No scientific constraint is violated: the band gap is non-negative, the chemical symbol 'Sb' is valid, the claim is contextualized by attribution to Materials Project (a reputable database), and no categorical stability claim is made — indeed, the context correctly labels Sb as 'Stable: False', aligning with its known thermodynamic metastability under standard conditions (though elemental Sb is kinetically stable).",1
mp_bal_v2_0430_conductivity_gap_conflict,resp_0194fbf3e6ca771e,task_e5e88e74e126b358,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,Is Tm metallic or insulating based on its band gap?,Tm is an insulator with a band gap of 0.0 eV.,Materials Project reports Tm (mp-971769). Band gap: 0.0 eV. Formation energy per atom: 0.029578992499999002 eV/atom. Energy above hull: 0.029578992499999002 eV/atom. Stable: False.,,outdated_or_incorrect,resp_0194fbf3e6ca771e,0.0,conductivity_band_gap_consistency,0.0,True,llm,"A band gap of 0.0 eV indicates metallic or semimetallic behavior, not insulating behavior. Insulators require a positive, non-zero band gap (typically > ~1–2 eV, though definitions vary; but never zero). Stating that a material with 0.0 eV band gap is an insulator is scientifically incorrect. Additionally, the retrieved context explicitly reports 'Stable: False' and a positive formation energy (0.0296 eV/atom), implying Tm is thermodynamically unstable in that computed structure — but the answer ignores instability and misclassifies electronic behavior.",1
mp_bal_v2_0381_band_gap_high,resp_01a879b255089ddf,task_a964c944ab381e10,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of La?,The band gap of La is 16.5 eV.,A controlled noisy note derived from mp-26 reports La with band gap 16.5 eV.,,outdated_or_incorrect,resp_01a879b255089ddf,0.0,band_gap_physical_range,0.0,True,llm,"Lanthanum (La) is a metallic element with a body-centered cubic (bcc) structure at room temperature and exhibits no band gap—it is a conductor. A reported band gap of 16.5 eV is physically implausible for elemental La; such a large value is typical of wide-band-gap insulators (e.g., diamond ~5.5 eV, LiF ~14 eV), not a simple metal. The answer presents this value categorically without caveat or qualification, violating the constraint that metallic materials cannot have a substantial positive band gap.",1
mp_bal_v2_0477_conductivity_gap_conflict,resp_01d76012e5c3bf9a,task_9671d051dd75edf1,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,Is Cs metallic or insulating based on its band gap?,Cs is metallic with a band gap of 1.0 eV.,Materials Project reports Cs (mp-1184151). Band gap: 0.13620000000000002 eV. Formation energy per atom: 0.012575198275859002 eV/atom. Energy above hull: 0.012575198275861002 eV/atom. Stable: False.,,outdated_or_incorrect,resp_01d76012e5c3bf9a,0.0,conductivity_band_gap_consistency,0.0,True,llm,"The answer falsely claims Cs is metallic *with a band gap of 1.0 eV*. A non-zero band gap ≥ ~0.1 eV (especially 1.0 eV) contradicts metallic behavior — metals have zero (or effectively zero) band gap at the Fermi level. Moreover, the retrieved context reports a band gap of ~0.136 eV, not 1.0 eV, and explicitly labels Cs as unstable (False stable), yet the answer omits this critical thermodynamic context and misrepresents both the band gap value and its implication. A material with a 1.0 eV band gap is insulating/semiconducting, not metallic.",1
mp_bal_v2_0192_band_gap_negative,resp_020c0dfad1b24c3b,task_b863837c17679f31,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Ge?,The band gap of Ge is -0.05 eV.,A controlled noisy note derived from mp-128 reports Ge with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,resp_020c0dfad1b24c3b,0.0,non_negative_band_gap,0.0,True,llm,"A negative band gap is unphysical for a stable crystalline semiconductor like germanium; it would imply metallic behavior or an instability in the electronic structure calculation, not a valid band gap. The retrieved context explicitly labels the value as 'outdated_or_incorrect' and 'controlled noisy', indicating it is erroneous. Asserting -0.05 eV as the band gap without qualification violates the scientific constraint prohibiting negative band gap as a valid value.",1
mp_bal_v2_0489_conductivity_gap_conflict,resp_02196dd03a5c4469,task_a3950bb8d241dc74,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,Is Li metallic or insulating based on its band gap?,Li is an insulator with a band gap of 0.0 eV.,Materials Project reports Li (mp-567337). Band gap: 0.0 eV. Formation energy per atom: 0.008819463333333001 eV/atom. Energy above hull: 0.008819463333333001 eV/atom. Stable: False.,,outdated_or_incorrect,resp_02196dd03a5c4469,0.0,conductivity_band_gap_consistency,0.0,True,llm,"A band gap of 0.0 eV indicates metallic behavior (no energy gap between valence and conduction bands), not insulating behavior. Calling Li an 'insulator' with a 0.0 eV band gap is scientifically incorrect — materials with zero (or negligible) band gap are classified as metals or semimetals. Additionally, the context states Li is 'Stable: False' and has positive energy above hull, but the answer ignores that instability and misclassifies the electronic nature. This violates the constraint: 'metallic material with a substantial positive band gap, or insulating material with near-zero band gap' — here, it's the latter case (calling a 0.0 eV-gap material insulating).",1
mp_bal_v2_0482_band_gap_current,resp_0226ddf1557b1aba,task_4425891df91376b1,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Tl?,The band gap of Tl is 0.0 eV according to Materials Project.,Materials Project reports Tl (mp-1187790). Band gap: 0.0 eV. Formation energy per atom: 0.011458308620690002 eV/atom. Energy above hull: 0.011458308620689 eV/atom. Stable: False.,,current,resp_0226ddf1557b1aba,1.0,,1.0,False,llm,"Tl (thallium) is a post-transition metal and is expected to be metallic, hence a band gap of 0.0 eV is physically appropriate. The answer correctly reports the value from the retrieved context without misrepresenting it (e.g., no claim of semiconducting behavior or erroneous interpretation). No scientific constraint is violated: zero band gap is valid for metals; chemical symbol 'Tl' is correct; stability is not claimed (context explicitly states 'Stable: False'); formation energy is positive but the answer does not assert stability; no invalid crystal system or thermodynamic inconsistency is introduced.",1
mp_bal_v2_0184_band_gap_current,resp_024333022c07fd30,task_af8d33a8b4a73799,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Bi?,The band gap of Bi is 0.0 eV according to Materials Project.,Materials Project reports Bi (mp-1525145). Band gap: 0.0 eV. Formation energy per atom: 0.081740279999998 eV/atom. Energy above hull: 0.081740279999998 eV/atom. Stable: False.,,current,resp_024333022c07fd30,1.0,,1.0,False,llm,"Bismuth (Bi) is a well-known semimetal with a very small or zero band gap in its bulk rhombohedral form; experimental and theoretical studies consistently report it as effectively gapless (i.e., overlapping valence and conduction bands), so a reported band gap of 0.0 eV is physically reasonable and not a violation. The answer correctly reports the value from the retrieved context without misrepresenting it (e.g., no claim of semiconductor behavior or implausible gap magnitude). No scientific constraint is violated.",1
mp_bal_v2_0041_band_gap_current,resp_025a262155faaf8a,task_63d226241cf0e74d,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of W?,The band gap of W is 0.0 eV according to Materials Project.,Materials Project reports W (mp-1191581). Band gap: 0.0 eV. Formation energy per atom: 1.181116915599996 eV/atom. Energy above hull: 1.1811169156 eV/atom. Stable: False.,,current,resp_025a262155faaf8a,1.0,,1.0,False,llm,"Tungsten (W) is a well-known metal with no band gap; a reported band gap of 0.0 eV is physically correct and consistent with its metallic character. The retrieved context from Materials Project confirms this value and also correctly identifies W as unstable relative to the convex hull (which is expected for elemental tungsten in certain computational settings — though elemental phases are typically on the hull; however, the band gap statement itself is scientifically sound and not contradicted by the instability flag). No scientific constraint is violated: zero band gap is valid for metals, chemical symbol 'W' is correct, and no invalid physical conditions or inconsistent crystallographic claims are made.",1
mp_bal_v2_0584_band_gap_current,resp_0263d8867645eb6a,task_933afefcfba2f5fd,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of V?,The band gap of V is 0.0 eV according to Materials Project.,Materials Project reports V (mp-8632). Band gap: 0.0 eV. Formation energy per atom: 0.247140399999999 eV/atom. Energy above hull: 0.247140399999999 eV/atom. Stable: False.,,current,resp_0263d8867645eb6a,1.0,,1.0,False,llm,"Vanadium (V) is a transition metal and is experimentally known to be metallic, i.e., it has no band gap (or effectively zero band gap). A reported band gap of 0.0 eV is physically appropriate for a metal and does not violate any scientific constraint. The answer correctly reports the value from the context without misrepresenting it (e.g., no claim of semiconductor/insulator behavior, no implication of stability, and no invalid physical interpretation).",1
mp_bal_v2_0606_band_gap_negative,resp_02749c33051e6d52,task_d3e15004857ceea7,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Se?,The band gap of Se is -0.05 eV.,A controlled noisy note derived from mp-12771 reports Se with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,resp_02749c33051e6d52,0.0,non_negative_band_gap,0.0,True,llm,"A negative band gap is unphysical for a stable, non-metallic semiconductor or insulator; it typically indicates a metallic state or an artifact of flawed calculation. While some computational methods may yield slightly negative values due to numerical noise or approximations, reporting -0.05 eV as the band gap without qualification (e.g., noting it reflects metallic behavior or methodological limitation) violates fundamental electronic structure principles. Moreover, the retrieved context explicitly labels this value as 'outdated_or_incorrect', yet the answer presents it uncritically as fact.",1
mp_bal_v2_0577_conductivity_gap_conflict,resp_029f3d956175e378,task_db197b81010973ae,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,Is Tb metallic or insulating based on its band gap?,Tb is an insulator with a band gap of 0.0 eV.,Materials Project reports Tb (mp-7163). Band gap: 0.0 eV. Formation energy per atom: 0.031530149999998 eV/atom. Energy above hull: 0.031530149999998 eV/atom. Stable: False.,,outdated_or_incorrect,resp_029f3d956175e378,0.0,conductivity_band_gap_consistency,0.0,True,llm,"A band gap of 0.0 eV indicates metallic (or semimetallic) behavior, not insulating behavior. Insulators require a positive, non-zero band gap. Stating that Tb is an insulator with a 0.0 eV band gap is scientifically incorrect — it contradicts the fundamental definition of insulators vs. metals. Additionally, the Materials Project data labels Tb as 'Stable: False' and reports a positive energy above hull (~0.0315 eV/atom), implying thermodynamic instability, but the answer ignores that and makes an unqualified categorical claim about its electronic character without addressing reliability or context (e.g., whether the DFT calculation may underestimate correlation effects in rare-earth metals). However, the core violation is the misclassification of 0.0 eV band gap as insulating.",1
mp_bal_v2_0001_band_gap_high,resp_02a36f9b7bfde6fc,task_c77e756aaac6944d,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Nb?,The band gap of Nb is 16.5 eV.,A controlled noisy note derived from mp-1094120 reports Nb with band gap 16.5 eV.,,outdated_or_incorrect,resp_02a36f9b7bfde6fc,0.0,band_gap_physical_range,0.0,True,llm,"Niobium (Nb) is a well-known transition metal with metallic character and experimentally confirmed zero (or negligible) band gap — it is not a semiconductor or insulator. A reported band gap of 16.5 eV is physically implausible for elemental Nb; such a large value is typical only of wide-band-gap insulators (e.g., diamond ~5.5 eV, LiF ~14 eV), not metals. The answer presents this value categorically without caveat or skepticism, violating the constraint that metallic materials cannot have a substantial positive band gap.",1
mp_bal_v2_0923_band_gap_negative,resp_02b6bdf8ef6646fc,task_a002c69a70ea4e69,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Mg6Si5?,The band gap of Mg6Si5 is -0.05 eV.,A controlled noisy note derived from mp-1073998 reports Mg6Si5 with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,resp_02b6bdf8ef6646fc,0.0,non_negative_band_gap,0.0,True,llm,"A negative band gap is unphysical for a stable crystalline solid—it implies metallic behavior or an artifact of calculation (e.g., failure of DFT functional), not a valid semiconducting/insulating band gap. The answer presents -0.05 eV as the band gap without qualification (e.g., 'reported but unphysical', 'indicative of metallicity', or 'likely erroneous'), thereby asserting a negative band gap as a valid value. This violates fundamental semiconductor physics.",1
mp_bal_v2_0242_band_gap_negative,resp_02be16c42f4f35b3,task_473c81c203cf681f,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of K?,The band gap of K is -0.05 eV.,A controlled noisy note derived from mp-1184764 reports K with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,resp_02be16c42f4f35b3,0.0,non_negative_band_gap,0.0,True,llm,"A negative band gap is unphysical for a conventional semiconductor or insulator and indicates metallic behavior (where the band gap is effectively zero). While metals are sometimes reported with small negative or near-zero 'band gaps' in approximate DFT calculations due to numerical smearing or k-point sampling, reporting -0.05 eV as the band gap of potassium (K) — a well-known alkali metal — as a definitive value is scientifically misleading. More critically, the retrieved context explicitly labels this value as 'outdated_or_incorrect' and 'controlled noisy', indicating it should not be asserted as fact. The answer violates the constraint by asserting a negative band gap as a valid, unqualified value without contextualization or correction.",1
