sample_id,response_id,base_task_id,source_dataset,dataset_role,model,mode,constraint_family,question,answer,retrieved_context,ground_truth,document_status,user_input,retrieved_contexts,response,reference,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,ragas_backend,ragas_llm_model,pi_sret_constraint_score,pi_sret_violations
mp_bal_v2_0001_band_gap_high,resp_02a36f9b7bfde6fc,task_c77e756aaac6944d,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Nb?,The band gap of Nb is 16.5 eV.,A controlled noisy note derived from mp-1094120 reports Nb with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of Nb?,['A controlled noisy note derived from mp-1094120 reports Nb with band gap 16.5 eV.'],The band gap of Nb is 16.5 eV.,A controlled noisy note derived from mp-1094120 reports Nb with band gap 16.5 eV.,1.0,0.9999999999999994,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
mp_bal_v2_0923_band_gap_negative,resp_02b6bdf8ef6646fc,task_a002c69a70ea4e69,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Mg6Si5?,The band gap of Mg6Si5 is -0.05 eV.,A controlled noisy note derived from mp-1073998 reports Mg6Si5 with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the band gap of Mg6Si5?,['A controlled noisy note derived from mp-1073998 reports Mg6Si5 with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.'],The band gap of Mg6Si5 is -0.05 eV.,A controlled noisy note derived from mp-1073998 reports Mg6Si5 with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,1.0,0.9999999999999992,,,ragas_qwen_plus,qwen-plus,0.0,non_negative_band_gap
mp_bal_v2_0242_band_gap_negative,resp_02be16c42f4f35b3,task_473c81c203cf681f,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of K?,The band gap of K is -0.05 eV.,A controlled noisy note derived from mp-1184764 reports K with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the band gap of K?,['A controlled noisy note derived from mp-1184764 reports K with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.'],The band gap of K is -0.05 eV.,A controlled noisy note derived from mp-1184764 reports K with band gap -0.05 eV. This note is marked outdated_or_incorrect for stress testing.,1.0,0.9999999999999998,,,ragas_qwen_plus,qwen-plus,0.0,non_negative_band_gap
mp_bal_v2_0119_band_gap_high,resp_02c39eee6f2fca99,task_d1375564bab56fc6,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Si?,The band gap of Si is 16.5 eV.,A controlled noisy note derived from mp-1056579 reports Si with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of Si?,['A controlled noisy note derived from mp-1056579 reports Si with band gap 16.5 eV.'],The band gap of Si is 16.5 eV.,A controlled noisy note derived from mp-1056579 reports Si with band gap 16.5 eV.,1.0,0.9999999999999992,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
mp_bal_v2_0853_formation_noisy_high,resp_02d9f4f2957499fa,task_7c567e9c1f2918e5,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Mg2Si3?,The formation energy of Mg2Si3 is 5.5 eV/atom.,A controlled noisy note derived from mp-1073130 reports formation energy 5.5 eV/atom for Mg2Si3. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the formation energy of Mg2Si3?,['A controlled noisy note derived from mp-1073130 reports formation energy 5.5 eV/atom for Mg2Si3. This note is marked outdated_or_incorrect for stress testing.'],The formation energy of Mg2Si3 is 5.5 eV/atom.,A controlled noisy note derived from mp-1073130 reports formation energy 5.5 eV/atom for Mg2Si3. This note is marked outdated_or_incorrect for stress testing.,1.0,0.9999999999999992,,,ragas_qwen_plus,qwen-plus,0.0,formation_energy_typical_range
mp_bal_v2_0173_formation_current,resp_03259d64822a48e7,task_b7fe803e5ddbd61a,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Pb?,The formation energy of Pb is 0.11592558166666801 eV/atom.,Materials Project reports Pb (mp-1102666). Band gap: 0.0 eV. Formation energy per atom: 0.11592558166666801 eV/atom. Energy above hull: 0.11592558166666501 eV/atom. Stable: False.,,current,What is the formation energy of Pb?,['Materials Project reports Pb (mp-1102666). Band gap: 0.0 eV. Formation energy per atom: 0.11592558166666801 eV/atom. Energy above hull: 0.11592558166666501 eV/atom. Stable: False.'],The formation energy of Pb is 0.11592558166666801 eV/atom.,Materials Project reports Pb (mp-1102666). Band gap: 0.0 eV. Formation energy per atom: 0.11592558166666801 eV/atom. Energy above hull: 0.11592558166666501 eV/atom. Stable: False.,1.0,0.9999999999999996,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict
mp_bal_v2_0724_formation_noisy_high,resp_0386b3175359970b,task_fd655b1eeffec26d,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of H2?,The formation energy of H2 is 5.5 eV/atom.,A controlled noisy note derived from mp-1181265 reports formation energy 5.5 eV/atom for H2. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the formation energy of H2?,['A controlled noisy note derived from mp-1181265 reports formation energy 5.5 eV/atom for H2. This note is marked outdated_or_incorrect for stress testing.'],The formation energy of H2 is 5.5 eV/atom.,A controlled noisy note derived from mp-1181265 reports formation energy 5.5 eV/atom for H2. This note is marked outdated_or_incorrect for stress testing.,1.0,0.9999999999999996,,,ragas_qwen_plus,qwen-plus,0.0,formation_energy_typical_range
mp_bal_v2_0721_band_gap_high,resp_03b9a672d43ca9b1,task_22e3c1c7028d7bbd,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Np?,The band gap of Np is 16.5 eV.,A controlled noisy note derived from mp-11534 reports Np with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of Np?,['A controlled noisy note derived from mp-11534 reports Np with band gap 16.5 eV.'],The band gap of Np is 16.5 eV.,A controlled noisy note derived from mp-11534 reports Np with band gap 16.5 eV.,1.0,0.9999999999999998,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
mp_bal_v2_0114_band_gap_high,resp_03e55e96e6c508a1,task_b5096bf17f8f7c2c,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Br?,The band gap of Br is 16.5 eV.,A controlled noisy note derived from mp-1010048 reports Br with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of Br?,['A controlled noisy note derived from mp-1010048 reports Br with band gap 16.5 eV.'],The band gap of Br is 16.5 eV.,A controlled noisy note derived from mp-1010048 reports Br with band gap 16.5 eV.,1.0,0.9999999999999996,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
mp_bal_v2_0990_band_gap_high,resp_04137a8aa7519766,task_5839be8809822863,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Mg4Si3?,The band gap of Mg4Si3 is 16.5 eV.,A controlled noisy note derived from mp-1074404 reports Mg4Si3 with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of Mg4Si3?,['A controlled noisy note derived from mp-1074404 reports Mg4Si3 with band gap 16.5 eV.'],The band gap of Mg4Si3 is 16.5 eV.,A controlled noisy note derived from mp-1074404 reports Mg4Si3 with band gap 16.5 eV.,1.0,0.9999999999999996,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
mp_bal_v2_0824_formation_noisy_high,resp_0450f7fd2746ffd5,task_30303a170a90bd00,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Rb?,The formation energy of Rb is 5.5 eV/atom.,A controlled noisy note derived from mp-2204861 reports formation energy 5.5 eV/atom for Rb. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the formation energy of Rb?,['A controlled noisy note derived from mp-2204861 reports formation energy 5.5 eV/atom for Rb. This note is marked outdated_or_incorrect for stress testing.'],The formation energy of Rb is 5.5 eV/atom.,A controlled noisy note derived from mp-2204861 reports formation energy 5.5 eV/atom for Rb. This note is marked outdated_or_incorrect for stress testing.,1.0,0.9999999999999998,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0722_formation_current,resp_046d94690a4eb4bb,task_cd0f81fa7106e40c,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of N2?,The formation energy of N2 is 1.08825211125 eV/atom.,Materials Project reports N2 (mp-1176403). Band gap: 0.0 eV. Formation energy per atom: 1.08825211125 eV/atom. Energy above hull: 1.08825211125 eV/atom. Stable: False.,,current,What is the formation energy of N2?,['Materials Project reports N2 (mp-1176403). Band gap: 0.0 eV. Formation energy per atom: 1.08825211125 eV/atom. Energy above hull: 1.08825211125 eV/atom. Stable: False.'],The formation energy of N2 is 1.08825211125 eV/atom.,Materials Project reports N2 (mp-1176403). Band gap: 0.0 eV. Formation energy per atom: 1.08825211125 eV/atom. Energy above hull: 1.08825211125 eV/atom. Stable: False.,1.0,0.9999999999999996,,,ragas_qwen_plus,qwen-plus,0.0,formation_energy_typical_range
mp_bal_v2_0946_band_gap_high,resp_048d6c7f335528f8,task_b98e7052df4efbfa,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of Mg9Si5?,The band gap of Mg9Si5 is 16.5 eV.,A controlled noisy note derived from mp-1074095 reports Mg9Si5 with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of Mg9Si5?,['A controlled noisy note derived from mp-1074095 reports Mg9Si5 with band gap 16.5 eV.'],The band gap of Mg9Si5 is 16.5 eV.,A controlled noisy note derived from mp-1074095 reports Mg9Si5 with band gap 16.5 eV.,1.0,1.0,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
mp_bal_v2_0191_band_gap_high,resp_04ba7dd8e2e486c2,task_970c8628b0afaf83,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of S?,The band gap of S is 16.5 eV.,A controlled noisy note derived from mp-655141 reports S with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of S?,['A controlled noisy note derived from mp-655141 reports S with band gap 16.5 eV.'],The band gap of S is 16.5 eV.,A controlled noisy note derived from mp-655141 reports S with band gap 16.5 eV.,1.0,0.9999999999999994,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
mp_bal_v2_0386_formation_noisy_high,resp_04c11de37eae0042,task_c748723b90da6c40,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,formation_energy,What is the formation energy of Mo?,The formation energy of Mo is 5.5 eV/atom.,A controlled noisy note derived from mp-2647013 reports formation energy 5.5 eV/atom for Mo. This note is marked outdated_or_incorrect for stress testing.,,outdated_or_incorrect,What is the formation energy of Mo?,['A controlled noisy note derived from mp-2647013 reports formation energy 5.5 eV/atom for Mo. This note is marked outdated_or_incorrect for stress testing.'],The formation energy of Mo is 5.5 eV/atom.,A controlled noisy note derived from mp-2647013 reports formation energy 5.5 eV/atom for Mo. This note is marked outdated_or_incorrect for stress testing.,1.0,1.0,,,ragas_qwen_plus,qwen-plus,0.0,elemental_formation_energy_reference_conflict;formation_energy_typical_range
mp_bal_v2_0826_band_gap_high,resp_04cd8327aaa4c20d,task_dba42fe7027e7d43,mp_balanced_constraints_v3,mp_derived_balanced_controlled,mp_property_derived,controlled_balanced,band_gap,What is the band gap of P?,The band gap of P is 16.5 eV.,A controlled noisy note derived from mp-7245 reports P with band gap 16.5 eV.,,outdated_or_incorrect,What is the band gap of P?,['A controlled noisy note derived from mp-7245 reports P with band gap 16.5 eV.'],The band gap of P is 16.5 eV.,A controlled noisy note derived from mp-7245 reports P with band gap 16.5 eV.,1.0,1.0,,,ragas_qwen_plus,qwen-plus,0.0,band_gap_physical_range
