record_id,blind_id,constraint_family,document_status_raw,question,answer,predicted_material,predicted_formula,predicted_value,predicted_unit,predicted_property,predicted_phase,predicted_method,predicted_evidence,predicted_qualifier,gold_material,gold_formula,gold_value,gold_unit,gold_property,gold_phase,gold_method,gold_evidence,gold_qualifier,annotation_complete,annotator_note
resp_0521cf4be630bab4,BLIND-0152,natural_claim,current,What is the main materials-science claim reported in the source titled 'Barrier-channel intermixing and 2-dimensional electron gas degradation in Al-rich Al(Ga)N/AlGaN high electron mobility transistor heterostructures'?,"In this work, we report on recent results in understanding and addressing the issue of interface smearing in high-aluminium content AlGaN/AlGaN heterostructures.",AlGaN,AlGaN,,,,,,,,,,,,,,,,,,
resp_024333022c07fd30,BLIND-0094,band_gap,current,What is the band gap of Bi?,The band gap of Bi is 0.0 eV according to Materials Project.,,,0.0,eV,band_gap,,,,,,,,,,,,,,,
resp_00723b36839c8d4f,BLIND-0041,band_gap,outdated_or_incorrect,Is Pu metallic or insulating based on its band gap?,Pu is an insulator with a band gap of 0.0 eV.,,,0.0,eV,band_gap; conductivity,,,,,,,,,,,,,,,
resp_07a7490644aa2648,BLIND-0013,temperature,current,Can the material be called superconducting without reporting Tc or evidence?,"No, the material cannot be called superconducting without reporting Tc or evidence. According to the retrieved context, superconductivity claims should report Tc, measured evidence, or a transition temperature.",,,,,temperature; superconductivity,,,measured; transition temperature,,,,,,,,,,,,
resp_0afb459b5204de6d,BLIND-0020,temperature,outdated_or_incorrect,Can an experiment be performed at -50 K?,Absolute temperature on the Kelvin scale cannot be below 0 K.,,,0,K,temperature,,,,,,,,,,,,,,,
resp_04268901fa921bb6,BLIND-0192,chemical_formula,outdated_or_incorrect,Give the formula for NaCl.,Sodium chloride is represented chemically as NaCl.,NaCl,NaCl,,,,,,,,,,,,,,,,,,
resp_106d4c48a20eab49,BLIND-0168,natural_claim,incomplete,What is the main materials-science claim reported in the source titled 'Generation of Quantum Turbulence by Neutrino Cooling in Neutron Stars'?,"Hot-exciton relaxation in semiconductor nanocrystals (NCs) is often described using perturbative theories, but their accuracy is difficult to assess for realistic exciton--phonon Hamiltonians.",NCs,NCs,,,,,,,,,,,,,,,,,,
resp_024ab07be8a53791,BLIND-0095,stability,incomplete,Is Rh thermodynamically stable?,Rh is stable.,,,,,stability,,,,,,,,,,,,,,,
resp_00ebdffb0d23b4ac,BLIND-0056,formation_energy,outdated_or_incorrect,What is the formation energy of Ca?,The formation energy of Ca is 5.5 eV/atom.,,,5.5,eV/atom,formation_energy,,,formation energy,,,,,,,,,,,,
resp_014334995e5b562d,BLIND-0071,formation_energy,current,What is the formation energy of Mg4Si3?,The formation energy of Mg4Si3 is 0.11804604535714201 eV/atom.,Mg4Si3,Mg4Si3,0.11804604535714201,eV/atom,formation_energy,,,formation energy,,,,,,,,,,,,
resp_42efa3814ab84359,BLIND-0199,pressure,outdated_or_incorrect,Report the synthesis pressure of GaN.,La2CuO4 was synthesized at -0.01 GPa.,La2CuO4,La2CuO4,-0.01,GPa,pressure,,,,,,,,,,,,,,,
resp_2a30b6719c7570e4,BLIND-0198,superconductivity,incomplete,Does NaCl exhibit superconductivity?,"The context explicitly states that MgO is a superconductor, with no indication that NaCl shares this behavior.",MgO; NaCl,MgO; NaCl,,,superconductivity,,,,,,,,,,,,,,,
resp_1f409743e1de8a0e,BLIND-0032,chemical_formula,outdated_or_incorrect,Is Xx2O3 a valid materials formula?,"No, Xx2O3 is not a valid materials formula because it does not use recognized element symbols.",Xx2O3,Xx2O3,,,,,,,,,,,,,,,,,,
resp_080d9371a2b5d8c3,BLIND-0004,pressure,current,Is a pressure of -2 GPa physically valid in a standard pressure report?,Standard pressure reports should not use negative pressure unless a stress sign convention is explicitly defined.,,,,,pressure,,,,,,,,,,,,,,,
resp_0fc7e6ffc6698586,BLIND-0007,temperature,current,Can the material be called superconducting without reporting Tc or evidence?,"Superconductivity claims should report Tc, measured evidence, or a transition temperature.",,,,,temperature; superconductivity,,,measured; transition temperature,,,,,,,,,,,,
resp_009ed527f0d3d450,BLIND-0046,band_gap,outdated_or_incorrect,Is Eu metallic or insulating based on its band gap?,Eu is an insulator with a band gap of 0.0 eV.,,,0.0,eV,band_gap; conductivity,,,,,,,,,,,,,,,
resp_13694590d80d6647,BLIND-0195,temperature,outdated_or_incorrect,What temperature was InP measured at?,No temperature for InP is given in the context—only TiO₂’s transition temperature (4.2 K) is reported.,InP,InP,4.2,K,temperature,,,transition temperature,,,,,,,,,,,,
resp_027f521cbef2e473,BLIND-0150,chemical_formula,current,What is the main materials-science claim reported in the source titled 'Mechanochemical Nano-Writing of an Atomically Thin Metal'?,"Here we demonstrate mechanical force-enabled synthesis and nanoscale patterning to metallize a two-dimensional (2D) material, producing an atomically-thin superconducting material.",,,,,superconductivity,,,,,,,,,,,,,,,
resp_1240fc3baa006b5b,BLIND-0172,pressure,incomplete,What is the main materials-science claim reported in the source titled 'Hysteretic Acoustic Band Structures in Shape-Memory Composite Thin Rods'?,"The nitrogen vacancy (NV) center has emerged as a powerful quantum sensor in high-pressure research, with the observation of optically detected magnetic resonance at megabar pressures.",,,,,pressure,,,,,,,,,,,,,,,
resp_0fa051f6f512c020,BLIND-0167,formation_energy,incomplete,What is the main materials-science claim reported in the source titled 'Hole-doped superconductivity above 100 K in infinite-layer cuprate thin films'?,Single electron spins can be used to encode and process information in semiconductor quantum devices.,,,,,,,,,,,,,,,,,,,,
resp_0161e2004a140640,BLIND-0075,formation_energy,outdated_or_incorrect,What is the formation energy of Tb?,The formation energy of Tb is 5.5 eV/atom.,,,5.5,eV/atom,formation_energy,,,formation energy,,,,,,,,,,,,
resp_005f1bf3fc545be3,BLIND-0038,formation_energy,current,Is Ac thermodynamically stable?,Ac has energy above hull 0.0 eV/atom and formation energy 0.0 eV/atom; Materials Project stable is True.,,,0.0,eV/atom,formation_energy; stability,,,energy above hull; formation energy,,,,,,,,,,,,
resp_03c41bfa58459469,BLIND-0129,band_gap,outdated_or_incorrect,Is O2 metallic or insulating based on its band gap?,O2 is an insulator with a band gap of 0.0 eV.,,,0.0,eV,band_gap; conductivity,,,,,,,,,,,,,,,
resp_134c9a14b1e3a35b,BLIND-0177,superconductivity,current,What is the main materials-science claim reported in the source titled 'Impact of Stoichiometry of MoSi Thin Films for Enhanced Sensitivity of Superconducting Nanowire Single-Photon Detectors'?,We report on the impact of the stoichiometry of superconducting MoSi thin films on the performance of superconducting nanowire single-photon detectors (SNSPDs).,MoSi; SNSPDs,MoSi; SNSPDs,,,superconductivity,,,,,,,,,,,,,,,
resp_094122c8a374dfbd,BLIND-0156,superconductivity,incomplete,"What is the main materials-science claim reported in the source titled 'Evolution of the intertwining correlated topological phases in iron-based superconductor Fe(Te,Se)'?","In this work, we report on recent results in understanding and addressing the issue of interface smearing in high-aluminium content AlGaN/AlGaN heterostructures.",AlGaN,AlGaN,,,,,,,,,,,,,,,,,,
resp_0f58849816a9e341,BLIND-0166,natural_claim,current,What is the main materials-science claim reported in the source titled 'A Visible-Frequency Excitonic Reststrahlen Band in (PEA)$_2$PbI$_4$ Slabs'?,"Layered halide perovskites host exceptionally strong excitons, whose optical signatures are usually interpreted as absorptive resonances on a smooth dielectric background.",,,,,,,,,,,,,,,,,,,,
resp_0351425482539959,BLIND-0190,chemical_formula,incomplete,What compound does ZnO refer to?,The reported formula for MgO is Ab3Cd9.,MgO; Ab3Cd9,MgO; Ab3Cd9,,,,,,,,,,,,,,,,,,
resp_0855d31aa9a58495,BLIND-0014,pressure,current,Is a pressure of -2 GPa physically valid in a standard pressure report?,"The retrieved context indicates that a pressure of -2 GPa may be reported in noisy measurements, but standard pressure reports should not use negative pressure unless a stress sign convention is explicitly defined. Therefore, without such a convention, a pressure of -2 GPa is not physically valid in a standard pressure report.",,,-2,GPa,pressure,,,,noisy,,,,,,,,,,,
resp_1243d0a0760d3dd2,BLIND-0174,natural_claim,incomplete,What is the main materials-science claim reported in the source titled 'Mechanoluminescence in crystalline inorganic materials: local disorder and the elastic distortion hypothesis'?,"We present a reduced dimension theoretical framework for studying quantum field theories at finite density, providing a tractable model for investigating non-Fermi liquid (NFL) behavior near quantum phase transitions.",,,,,,,,,,,,,,,,,,,,
resp_02b6bdf8ef6646fc,BLIND-0106,band_gap,outdated_or_incorrect,What is the band gap of Mg6Si5?,The band gap of Mg6Si5 is -0.05 eV.,Mg6Si5,Mg6Si5,-0.05,eV,band_gap,,,,,,,,,,,,,,,
resp_04c0a8a82f9e61a0,BLIND-0138,stability,incomplete,Is Bi thermodynamically stable?,Bi is stable.,,,,,stability,,,,,,,,,,,,,,,
resp_02502b7bbc7b4b9f,BLIND-0096,formation_energy,current,What is the formation energy of U?,The formation energy of U is 0.0 eV/atom.,,,0.0,eV/atom,formation_energy,,,formation energy,,,,,,,,,,,,
resp_050386ffc42b4c7f,BLIND-0018,chemical_formula,outdated_or_incorrect,Is Xx2O3 a valid materials formula?,No,,,,,,,,,,,,,,,,,,,,
resp_014526fa7d170ed6,BLIND-0072,formation_energy,outdated_or_incorrect,What is the formation energy of Nb?,The formation energy of Nb is 5.5 eV/atom.,,,5.5,eV/atom,formation_energy,,,formation energy,,,,,,,,,,,,
resp_0132e6f9514ee0d6,BLIND-0066,formation_energy,current,What is the formation energy of Br?,The formation energy of Br is 0.08391820500000001 eV/atom.,,,0.08391820500000001,eV/atom,formation_energy,,,formation energy,,,,,,,,,,,,
resp_1938e8aca858829a,BLIND-0197,superconductivity,current,Does MgO exhibit superconductivity?,"Superconductivity has been observed in MgO, placing it among recently discovered superconducting material families.",MgO,MgO,,,superconductivity,,,,,,,,,,,,,,,
resp_06e10ba4752ea1d2,BLIND-0012,chemical_formula,outdated_or_incorrect,Is Xx2O3 a valid materials formula?,"No, because 'Xx' is not a recognized element symbol according to the context.",,,,,,,,,,,,,,,,,,,,
resp_0334f8fe3da21bf0,BLIND-0120,formation_energy,current,Is Pb thermodynamically stable?,Pb has energy above hull 0.042154440000004005 eV/atom and formation energy 0.042154440000004005 eV/atom; Materials Project stable is False.,,,0.042154440000004005,eV/atom,formation_energy; stability,,,energy above hull; formation energy,,,,,,,,,,,,
resp_02749c33051e6d52,BLIND-0103,band_gap,outdated_or_incorrect,What is the band gap of Se?,The band gap of Se is -0.05 eV.,,,-0.05,eV,band_gap,,,,,,,,,,,,,,,
resp_0a615ba1de4a0db0,BLIND-0015,chemical_formula,outdated_or_incorrect,Is Xx2O3 a valid materials formula?,"No, because 'Xx' is not a recognized element symbol according to the context.",,,,,,,,,,,,,,,,,,,,
resp_0b2bc9135ba1ed86,BLIND-0158,natural_claim,current,What is the main materials-science claim reported in the source titled 'Nonlinear Elasticity at the Damage Threshold of Semiconductor Nanocrystals'?,The nonlinear photoacoustic response of indium phosphide nanocrystals on silicon nanotip arrays is investigated using time-resolved optical pump-probe spectroscopy and synchrotron-based X-ray diffraction.,,,,,,,X-ray diffraction,,,,,,,,,,,,,
resp_02be16c42f4f35b3,BLIND-0107,band_gap,outdated_or_incorrect,What is the band gap of K?,The band gap of K is -0.05 eV.,,,-0.05,eV,band_gap; temperature,,,,,,,,,,,,,,,
resp_1d3aeedc4f3b348b,BLIND-0008,temperature,outdated_or_incorrect,Can an experiment be performed at -50 K?,Absolute temperature on the Kelvin scale cannot be below 0 K.,,,0,K,temperature,,,,,,,,,,,,,,,
resp_01d76012e5c3bf9a,BLIND-0082,band_gap,outdated_or_incorrect,Is Cs metallic or insulating based on its band gap?,Cs is metallic with a band gap of 1.0 eV.,,,1.0,eV,band_gap; conductivity,,,,,,,,,,,,,,,
resp_1aae472adb8fa80d,BLIND-0185,superconductivity,incomplete,What is the main materials-science claim reported in the source titled 'Superconductivity and electronic structure evolution in the enforced semimetal Fe-doped ZrTe$_2$'?,The interplay between charge-density-wave (CDW) order and superconductivity is a central problem in condensed-matter physics because both phenomena often originate from the same electron-phonon coupling (EPC) mechanism.,,,,,superconductivity,,,,,,,,,,,,,,,
resp_157f2cdf663470dd,BLIND-0181,natural_claim,incomplete,What is the main materials-science claim reported in the source titled 'Helical Rashba-exchange gauge field drives a uniaxial pair density wave in EuRbFe$_4$As$_4$'?,We study coherent electric manipulation of magnetic-field-induced localized states at a double kink of a helical edge in a HgTe/CdHgTe quantum well.,HgTe; CdHgTe,HgTe; CdHgTe,,,,,,,,,,,,,,,,,,
resp_0999373004314463,BLIND-0005,temperature,outdated_or_incorrect,Can an experiment be performed at -50 K?,Absolute temperature on the Kelvin scale cannot be below 0 K.,,,0,K,temperature,,,,,,,,,,,,,,,
resp_010495863986ae65,BLIND-0062,stability,incomplete,Is Mg thermodynamically stable?,Mg is stable.,,,,,stability,,,,,,,,,,,,,,,
resp_06064ea6ce1c8a2b,BLIND-0153,superconductivity,current,What is the main materials-science claim reported in the source titled 'Terahertz Electrodynamics and Kinetic Inductance of Disordered Titanium-Vanadium Alloy Thin Films'?,"Disordered superconductors represent an important area in modern condensed matter physics, where superconductivity survives even in the presence of strong electron scattering and localization effects.",,,,,superconductivity,,,,,,,,,,,,,,,
resp_13d6ac3dca729ab9,BLIND-0178,stability,current,What is the main materials-science claim reported in the source titled 'Carrier Localization in Pnictogen-Based Chalcohalides from Defect-Bound Hot Polarons'?,"Pnictogen-based solar absorbers have gained prominence as promising nontoxic and stable alternatives to lead-halide perovskites (LHPs), but are severely limited by carrier localization, preventing their performance from approaching those of LHPs.",LHPs,LHPs,,,stability,,,,,,,,,,,,,,,
resp_02dca3de50d40c37,BLIND-0001,pressure,current,Is a pressure of -2 GPa physically valid in a standard pressure report?,Standard pressure reports should not use negative pressure unless a stress sign convention is explicitly defined.,,,,,pressure,,,,,,,,,,,,,,,
resp_032020e31d13baa8,BLIND-0118,stability,incomplete,Is MgSi thermodynamically stable?,MgSi is stable.,MgSi,MgSi,,,stability,,,,,,,,,,,,,,,
resp_1243c75136731d5e,BLIND-0173,superconductivity,incomplete,"What is the main materials-science claim reported in the source titled 'Structure, Composition, and High-Field Superconductivity in Metal-Rich $\mathrmη$-Carbide-Type Compounds'?","In magnetic confinement fusion reactors, hydrogen plasma irradiation causes material saturation and recycling, where hydrogen released from the tungsten wall significantly impacts the peripheral plasma.",,,,,,,,,,,,,,,,,,,,
resp_a3456632ed748007,BLIND-0200,pressure,current,Report the synthesis pressure of LiCoO2.,MgO was studied at 5.0 GPa.,MgO,MgO,5.0,GPa,pressure,,,,,,,,,,,,,,,
resp_1a9dcb5f6223171a,BLIND-0184,superconductivity,incomplete,What is the main materials-science claim reported in the source titled 'Orbital-Engineered Altermagnetism in Two-Dimensional Square Lattices'?,"We employ terahertz Faraday magneto-optical spectroscopy to probe the relaxation dynamics of quantized helical Caroli-de Gennes-Matricon (CdGM) states in epitaxial FeTe$_{1-x}$Se$_x$ thin films, nodeless multiband superconductors with short coherence lengths in the moderately clean limit.",CdGM; FeTe,CdGM; FeTe,,,,,,,,,,,,,,,,,,
resp_1680e95ccc445988,BLIND-0196,superconductivity,outdated_or_incorrect,What superconducting behavior does La2CuO4 show?,La₂CuO₄ exhibits superconductivity as part of a newly identified class of superconducting materials.,,,,,superconductivity,,,,,,,,,,,,,,,
resp_00207198d958bc6f,BLIND-0035,band_gap,outdated_or_incorrect,What is the band gap of Eu?,The band gap of Eu is 16.5 eV.,,,16.5,eV,band_gap,,,,,,,,,,,,,,,
resp_0cb2223497a3b83d,BLIND-0030,temperature,current,Can the material be called superconducting without reporting Tc or evidence?,"No, the material cannot be called superconducting without reporting Tc or evidence. Superconductivity claims should report Tc, measured evidence, or a transition temperature.",,,,,temperature; superconductivity,,,measured; transition temperature,,,,,,,,,,,,
resp_00abb9c53745cb22,BLIND-0025,pressure,current,Is a pressure of -2 GPa physically valid in a standard pressure report?,A pressure of -2 GPa is not physically valid in a standard pressure report unless a stress sign convention is explicitly defined.,,,-2,GPa,pressure,,,,,,,,,,,,,,,
resp_00b139122dff317b,BLIND-0049,stability,incomplete,Is MgSi thermodynamically stable?,MgSi is stable.,MgSi,MgSi,,,stability,,,,,,,,,,,,,,,
resp_009a4cfc20de9b0f,BLIND-0009,pressure,current,Is a pressure of -2 GPa physically valid in a standard pressure report?,"The retrieved context indicates that a pressure of -2 GPa may be reported in noisy measurements, but standard pressure reports should not use negative pressure unless a stress sign convention is explicitly defined. Therefore, without such a convention, a pressure of -2 GPa is not physically valid in a standard pressure report.",,,-2,GPa,pressure,,,,noisy,,,,,,,,,,,
resp_0437d9b96872ae68,BLIND-0134,stability,incomplete,Is Na thermodynamically stable?,Na is stable.,,,,,stability,,,,,,,,,,,,,,,
resp_0335d2836b734b14,BLIND-0121,stability,incomplete,Is Cu thermodynamically stable?,Cu is stable.,,,,,stability,,,,,,,,,,,,,,,
resp_011711f79b38f72f,BLIND-0189,temperature,incomplete,At what temperature does InP undergo this transition?,The critical temperature of MgO is reported as -273 K.,MgO,MgO,-273,K,temperature,,,,,,,,,,,,,,,
resp_0d0871867967782e,BLIND-0164,natural_claim,current,What is the main materials-science claim reported in the source titled 'Berry-Curvature Activation by Orbital Flux in a Kagome Altermagnet'?,We investigate topological electronic responses in a kagome altermagnetic metal hosting a compensated coplanar $120^\circ$ magnetic texture.,,,,,conductivity,,,,,,,,,,,,,,,
resp_044b10df8863da94,BLIND-0135,stability,incomplete,Is O2 thermodynamically stable?,O2 is stable.,,,,,stability,,,,,,,,,,,,,,,
resp_00deb8360b74eb32,BLIND-0055,stability,incomplete,Is Si thermodynamically stable?,Si is stable.,,,,,stability,,,,,,,,,,,,,,,
resp_154ac686aa96236f,BLIND-0180,superconductivity,incomplete,What is the main materials-science claim reported in the source titled 'Commensurability and Gap Enhancement in Superconducting Films Induced by Nonsuperconducting Layers'?,We report light emission from the moire superlattice of a twisted bilayer of tungsten diselenide (WSe2/WSe2) encapsulated in insulating hexagonal boron nitride (hBN).,WSe2,WSe2,,,conductivity,hexagonal,,,,,,,,,,,,,,
resp_0317c744207af544,BLIND-0117,band_gap,current,What is the band gap of C?,The band gap of C is 4.399799999999999 eV according to Materials Project.,,,4.399799999999999,eV,band_gap,,,,,,,,,,,,,,,
resp_02ade0d87e9c584b,BLIND-0151,natural_claim,incomplete,What is the main materials-science claim reported in the source titled 'Reversible Superdense Ordering of Tetragonal Lithium in a Layered Material'?,"Understanding if low-energy excitations can remain itinerant in the presence of strong disorder remains a central challenge in frustrated quantum magnets, where disorder is generally expected to localize excitations through Anderson-like mechanisms.",,,,,,,,,,,,,,,,,,,,
resp_02d9f4f2957499fa,BLIND-0113,formation_energy,outdated_or_incorrect,What is the formation energy of Mg2Si3?,The formation energy of Mg2Si3 is 5.5 eV/atom.,Mg2Si3,Mg2Si3,5.5,eV/atom,formation_energy,,,formation energy,,,,,,,,,,,,
resp_012d9505a910a81a,BLIND-0065,band_gap,current,What is the band gap of U?,The band gap of U is 0.0 eV according to Materials Project.,,,0.0,eV,band_gap,,,,,,,,,,,,,,,
resp_042c8299d5161ab3,BLIND-0133,stability,incomplete,Is C thermodynamically stable?,C is stable.,,,,,stability,,,,,,,,,,,,,,,
resp_00c64e8e4da40e43,BLIND-0051,formation_energy,current,Is Pm thermodynamically stable?,Pm has energy above hull 0.016863862499999 eV/atom and formation energy 0.016863862499999 eV/atom; Materials Project stable is False.,,,0.016863862499999,eV/atom,formation_energy; stability,,,energy above hull; formation energy,,,,,,,,,,,,
resp_00ac7c4ca758b0f2,BLIND-0048,band_gap,outdated_or_incorrect,What is the band gap of Ba?,The band gap of Ba is 16.5 eV.,,,16.5,eV,band_gap,,,,,,,,,,,,,,,
resp_013a5b6f64fffd39,BLIND-0069,formation_energy,outdated_or_incorrect,What is the formation energy of Pu?,The formation energy of Pu is 5.5 eV/atom.,,,5.5,eV/atom,formation_energy,,,formation energy,,,,,,,,,,,,
resp_0146648feefb0191,BLIND-0073,band_gap,outdated_or_incorrect,Is Kr metallic or insulating based on its band gap?,Kr is metallic with a band gap of 7.1667 eV.,,,7.1667,eV,band_gap; conductivity,,,,,,,,,,,,,,,
resp_034f45ae91e9af35,BLIND-0122,formation_energy,current,Is S thermodynamically stable?,S has energy above hull 0.042196687187500005 eV/atom and formation energy 0.042196687187500005 eV/atom; Materials Project stable is False.,,,0.042196687187500005,eV/atom,formation_energy; stability,,,energy above hull; formation energy,,,,,,,,,,,,
resp_09b384cf9d284df0,BLIND-0194,temperature,current,Is CdS a superconductor?,Fe2O3 exhibits superconductivity with a measured Tc of 33 K.,Fe2O3,Fe2O3,33,K,temperature; superconductivity,,,measured,,,,,,,,,,,,
resp_0001858ac01dbee3,BLIND-0033,stability,incomplete,Is Si thermodynamically stable?,Si is stable.,,,,,stability,,,,,,,,,,,,,,,
resp_007f29ab4a684a79,BLIND-0044,band_gap,outdated_or_incorrect,Is S metallic or insulating based on its band gap?,S is metallic with a band gap of 2.4187 eV.,,,2.4187,eV,band_gap; conductivity,,,,,,,,,,,,,,,
resp_02cdd1c21c3f9e36,BLIND-0111,formation_energy,current,What is the formation energy of Hg?,The formation energy of Hg is 0.011028022499999 eV/atom.,,,0.011028022499999,eV/atom,formation_energy,,,formation energy,,,,,,,,,,,,
resp_11374dccf007ac35,BLIND-0171,superconductivity,incomplete,What is the main materials-science claim reported in the source titled 'Effects of Band Symmetry on Spin-Dependent Transport in Noncollinear Antiferromagnetic Tunnel Junctions'?,"In conventional superconductors, Cooper pairs form in an even-parity spin-singlet state.",,,,,,,,,,,,,,,,,,,,
resp_31c6bc06631b421b,BLIND-0024,temperature,current,Can the material be called superconducting without reporting Tc or evidence?,"Superconductivity claims should report Tc, measured evidence, or a transition temperature.",,,,,temperature; superconductivity,,,measured; transition temperature,,,,,,,,,,,,
resp_594bf498601bc9f7,BLIND-0188,chemical_formula,incomplete,What is the main materials-science claim reported in the source titled 'Spin-polarization of the electric current in half-metallic Co$_2$MnSi Heusler thin films'?,"This study explores the emergence of superconductivity in high-quality ZrTe$_{2-x}$Se$_x$ crystals, grown via the isothermal chemical vapor transport (ICVT) technique.",ZrTe,ZrTe,,,superconductivity,,,,,,,,,,,,,,,
resp_014e312a78c8864f,BLIND-0074,band_gap,current,What is the band gap of Mg9Si5?,The band gap of Mg9Si5 is 0.0 eV according to Materials Project.,Mg9Si5,Mg9Si5,0.0,eV,band_gap,,,,,,,,,,,,,,,
resp_05d16a0dbb54d998,BLIND-0142,stability,incomplete,Is S thermodynamically stable?,S is stable.,,,,,stability,,,,,,,,,,,,,,,
