盲标编号,sample_id,response_id,base_task_id,constraint_family,document_status,source_kind,model,mode,是否存在科学违规_A,是否存在科学违规_B,违规类型（可多选）_A,违规类型（可多选）_B,严重程度_A,严重程度_B,来源说明是否充分_A,来源说明是否充分_B,标注信心_A,标注信心_B,expert_agreement,protocol_adjudicated_label,protocol_adjudicated_violation,protocol_adjudicated_type,protocol_adjudicated_severity,protocol_adjudication_basis,protocol_adjudication_method,auto_violation,auto_constraint_violations_optimized,qwen_plus_violation,qwen_max_violation,human_final_label,human_final_violation,human_final_type,human_final_severity,human_final_basis,human_final_method
BLIND-0023,rag_cov_04_09_incorrect,resp_2e9ab6a6d442e9b4,task_59cec384a6df5bdb,temperature,current,derived_response,qwen-max,naive_context,否,否,超导性,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0024,rag_cov_04_12_incorrect,resp_31c6bc06631b421b,task_59cec384a6df5bdb,temperature,current,derived_response,qwen-max,naive_context,否,否,超导性,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0025,rag_cov_03_10_current,resp_00abb9c53745cb22,task_e79475fdfd3fd9cf,pressure,current,derived_response,qwen-max,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0026,rag_cov_02_13_current,resp_024a1fee854a603a,task_8c9b67d05cf270b4,temperature,outdated_or_incorrect,materials_project_derived,qwen-max,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0027,rag_cov_02_15_current,resp_02a43694cc3d26ee,task_8c9b67d05cf270b4,temperature,outdated_or_incorrect,materials_project_derived,qwen-max,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0028,rag_cov_03_01_incorrect,resp_049e515c19216bbf,task_e79475fdfd3fd9cf,pressure,current,derived_response,qwen-max,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0029,rag_cov_04_09_incorrect,resp_08b051d857c114aa,task_59cec384a6df5bdb,temperature,current,derived_response,qwen-max,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0030,rag_cov_04_15_current,resp_0cb2223497a3b83d,task_59cec384a6df5bdb,temperature,current,derived_response,qwen-max,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0031,rag_cov_01_13_incorrect,resp_0cf5a20236608e6a,task_529b912df8bf3701,chemical_formula,outdated_or_incorrect,derived_response,qwen-max,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0032,rag_cov_01_07_current,resp_1f409743e1de8a0e,task_529b912df8bf3701,chemical_formula,outdated_or_incorrect,derived_response,qwen-max,safety_aware,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0033,mp_bal_v2_0608_stability_incomplete,resp_0001858ac01dbee3,task_e057f694ad4d266f,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0034,mp_bal_v2_0701_formation_noisy_high,resp_000e7d4b6718e189,task_aaaf9b7ac62eb833,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict;formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0035,mp_bal_v2_0642_band_gap_high,resp_00207198d958bc6f,task_ef7125754e6eb562,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,band_gap_physical_range,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0036,mp_bal_v2_0682_band_gap_high,resp_003dd29c2ac412a3,task_106c05bb2c2cd496,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,band_gap_physical_range,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0037,mp_bal_v2_0803_band_gap_negative,resp_00495b48dffd8812,task_317a45e6c952309d,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,non_negative_band_gap,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0038,mp_bal_v2_0422_stability_current,resp_005f1bf3fc545be3,task_19ac8a37816e6ef4,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0039,mp_bal_v2_0229_stability_incomplete,resp_006bda7d1afdcab0,task_f3b911c46adb00f8,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0040,mp_bal_v2_0822_band_gap_negative,resp_006ca06845faf507,task_cb8dbaffcadbb3f6,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,non_negative_band_gap,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0041,mp_bal_v2_0784_conductivity_gap_conflict,resp_00723b36839c8d4f,task_e43c7628583e4203,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,电导率-带隙一致性,电导率-带隙一致性,主要错误,主要错误,充分,充分,高,高,True,是,True,电导率-带隙一致性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0042,mp_bal_v2_0552_formation_noisy_high,resp_00739387ab4e8af6,task_a23235ceece59424,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict;formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0043,mp_bal_v2_0154_formation_current,resp_00789662734d3b93,task_ce6e76b15e9d30b1,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0044,mp_bal_v2_0165_conductivity_gap_conflict,resp_007f29ab4a684a79,task_bccd6e81e016a345,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,电导率-带隙一致性,电导率-带隙一致性,主要错误,主要错误,充分,充分,高,高,True,是,True,电导率-带隙一致性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0045,mp_bal_v2_0155_stability_incomplete,resp_0096483b34b2479b,task_11d44018c5de7752,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0046,mp_bal_v2_0642_conductivity_gap_conflict,resp_009ed527f0d3d450,task_ef7125754e6eb562,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,电导率-带隙一致性,电导率-带隙一致性,主要错误,主要错误,充分,充分,高,高,True,是,True,电导率-带隙一致性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0047,mp_bal_v2_0976_band_gap_high,resp_00aa50db342b8a97,task_612048231ebc82f2,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,band_gap_physical_range,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0048,mp_bal_v2_0635_band_gap_high,resp_00ac7c4ca758b0f2,task_9e95735e91e83503,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,band_gap_physical_range,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0049,mp_bal_v2_0894_stability_incomplete,resp_00b139122dff317b,task_0871d0cad156436a,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0050,mp_bal_v2_0638_formation_current,resp_00c08ef51ae3ef0f,task_300b1f11c3ba77cb,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0051,mp_bal_v2_0542_stability_current,resp_00c64e8e4da40e43,task_18ed9aee9ba532ef,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0052,mp_bal_v2_0991_band_gap_negative,resp_00d2d244b46f9bb0,task_d57d074b2c5924e4,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,non_negative_band_gap,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0053,mp_bal_v2_0902_band_gap_current,resp_00d381733ff87166,task_f5b9aa897b2078dc,band_gap,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0054,mp_bal_v2_0043_band_gap_current,resp_00d7671d5f54bb58,task_7e10a53e4be6ee35,band_gap,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0055,mp_bal_v2_0332_stability_incomplete,resp_00deb8360b74eb32,task_672423f250879ee7,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0056,mp_bal_v2_0829_formation_noisy_high,resp_00ebdffb0d23b4ac,task_797209e9c8fbee6a,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict;formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0057,mp_bal_v2_0199_formation_noisy_high,resp_00f0b01282ffe13a,task_6f82cab76867b3d9,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict;formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0058,mp_bal_v2_0177_stability_current,resp_00f32a6805aad786,task_344ec15cabf4f26a,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0059,mp_bal_v2_0813_band_gap_negative,resp_00f53df70a99a5f3,task_8cc483338608a844,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,non_negative_band_gap,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0060,mp_bal_v2_0620_formation_current,resp_00f6303a95a21cc7,task_2ad547127f803dc4,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0061,mp_bal_v2_0724_formation_current,resp_00fcbc9929e747e6,task_fd655b1eeffec26d,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,formation_energy_typical_range,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0062,mp_bal_v2_0117_stability_incomplete,resp_010495863986ae65,task_9c2e8ca8fdcea8da,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0063,mp_bal_v2_0489_stability_current,resp_010e16a94a8d3858,task_f299cddf55f3f488,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
